Source,Target,Year
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
John Carroll University,University Of Scranton,1999
John Carroll University,Kent State University,1999
John Carroll University,Loyola University,1999
Johns Hopkins University,Occidental College,1999
Johns Hopkins University,Loyola College In Maryland,1999
Johns Hopkins University,University Of Rochester,1999
Juilliard School,New York University,1999
Kalamazoo College,University Of Rochester,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
