Year,Canonical_Name,Fuzzy_Matches,Institution_1,Institution_2
1999,Joseph W Powell,Joseph W Powell,Marshall University,West Virginia University
1999,A Michael Perry,A Michael Perry,Marshall University,West Virginia University
1999,Paul R Martinelli,Paul R Martinelli,Marshall University,West Virginia University
1999,J Thomas Jones,J Thomas Jones,Marshall University,West Virginia University
1999,Lucia B James,Lucia B James,Marshall University,West Virginia University
1999,John R Hoblitzell,John R Hoblitzell,Marshall University,West Virginia University
1999,Bertram W Gross,Bertram W Gross,Marshall University,West Virginia University
1999,Cara M Esposito,Cara M Esposito,Marshall University,West Virginia University
1999,Phyllis H Arnold,Phyllis H Arnold,Marshall University,West Virginia University
1999,Cathy Armstrong,Cathy Armstrong,Marshall University,West Virginia University
1999,Richard M Adams,Richard M Adams,Marshall University,West Virginia University
1999,Sharon B Lord,Sharon B Lord,Marshall University,West Virginia University
1999,Elliot K Wolk,Elliot K Wolk,Massachusetts Institute Of Technology,Yeshiva University
1999,Martha Turner,Martha Turner,Middle Tennessee State University,University Of North Texas
1999,Nan Mcgahey Baker,Nan Mcgahey Baker,Mississippi State University,University Of Southern Mississippi
1999,Thomas Colbert,Thomas Colbert,Mississippi State University,University Of Mississippi
1999,Thomas Colbert,Thomas Colbert,Mississippi State University,University Of Southern Mississippi
1999,Thomas Colbert,Thomas Colbert,University Of Mississippi,University Of Southern Mississippi
1999,William S Crawford,William S Crawford,Mississippi State University,University Of Mississippi
1999,William S Crawford,William S Crawford,Mississippi State University,University Of Southern Mississippi
1999,William S Crawford,William S Crawford,University Of Mississippi,University Of Southern Mississippi
1999,Ricki R Garrett,Ricki R Garrett,Mississippi State University,University Of Mississippi
1999,Ricki R Garrett,Ricki R Garrett,Mississippi State University,University Of Southern Mississippi
1999,Ricki R Garrett,Ricki R Garrett,University Of Mississippi,University Of Southern Mississippi
1999,J Marlin Ivey,J Marlin Ivey,Mississippi State University,University Of Mississippi
1999,J Marlin Ivey,J Marlin Ivey,Mississippi State University,University Of Southern Mississippi
1999,J Marlin Ivey,J Marlin Ivey,University Of Mississippi,University Of Southern Mississippi
1999,J Roy Klumb,J Roy Klumb,Mississippi State University,University Of Mississippi
1999,J Roy Klumb,J Roy Klumb,Mississippi State University,University Of Southern Mississippi
1999,J Roy Klumb,J Roy Klumb,University Of Mississippi,University Of Southern Mississippi
1999,Thomas D Layzell,Thomas D Layzell,Mississippi State University,University Of Mississippi
1999,Thomas D Layzell,Thomas D Layzell,Mississippi State University,University Of Southern Mississippi
1999,Thomas D Layzell,Thomas D Layzell,University Of Mississippi,University Of Southern Mississippi
1999,James W Luvene,James W Luvene,Mississippi State University,University Of Mississippi
1999,James W Luvene,James W Luvene,Mississippi State University,University Of Southern Mississippi
1999,James W Luvene,James W Luvene,University Of Mississippi,University Of Southern Mississippi
1999,D E Magee,D E Magee,Mississippi State University,University Of Mississippi
1999,D E Magee,D E Magee,Mississippi State University,University Of Southern Mississippi
1999,D E Magee,D E Magee,University Of Mississippi,University Of Southern Mississippi
1999,Virginia Shanteau Newton,Virginia Shanteau Newton,Mississippi State University,University Of Mississippi
1999,Virginia Shanteau Newton,Virginia Shanteau Newton,Mississippi State University,University Of Southern Mississippi
1999,Virginia Shanteau Newton,Virginia Shanteau Newton,University Of Mississippi,University Of Southern Mississippi
1999,Carl Nicholson,Carl Nicholson,Mississippi State University,University Of Mississippi
1999,Carl Nicholson,Carl Nicholson,Mississippi State University,University Of Southern Mississippi
1999,Carl Nicholson,Carl Nicholson,University Of Mississippi,University Of Southern Mississippi
1999,Raymond G Chambers,Raymond G Chambers,New Jersey Institute Of Technology,University Of Notre Dame
1999,Paul E Lego,Paul E Lego,New Jersey Institute Of Technology,University Of Pittsburgh
1999,Gary Johnson,Gary Johnson,New Mexico State University,University Of New Mexico
1999,Strachan Donnelley,Strachan Donnelley,New School University,University Of Chicago
1999,Diane Belfer,Diane Belfer,New York University,Yeshiva University
1999,Thomas G Labrecque,Thomas G Labrecque,New York University,University Of Notre Dame
1999,Marlin Glass,Marlin Glass,Oklahoma State University,University Of Oklahoma
1999,Leonard J Eaton,Leonard J Eaton,Oklahoma State University,University Of Oklahoma
1999,Hans Brisch,Hans Brisch,Oklahoma State University,University Of Oklahoma
1999,Bill W Burgess,Bill W Burgess,Oklahoma State University,University Of Oklahoma
1999,Tom Ridge,Tom Ridge,Pennsylvania State University,Temple University
1999,Eugene W Hickok,Eugene W Hickok,Pennsylvania State University,Temple University
1999,Eugene W Hickok,Eugene W Hickok,Pennsylvania State University,University Of Pittsburgh
1999,Eugene W Hickok,Eugene W Hickok,Temple University,University Of Pittsburgh
1999,George Campbell,George Campbell,Polytechnic University,Rensselaer Polytechnic Institute
1999,The Hon Christine Todd Whitman,The Hon Christine Todd Whitman,New Jersey Institute Of Technology,Princeton University
1999,James A Baker,James A Baker,Princeton University,Rice University
1999,James S Gleason,James S Gleason,Rochester Institute Of Technology,University Of Rochester
1999,Lawrence E Bathgate Ii,Lawrence E Bathgate Ii,Seton Hall University,Villanova University
1999,Pat Lebrun,Pat Lebrun,South Dakota State University,University Of South Dakota
1999,Robert T Perry,Robert T Perry,South Dakota State University,University Of South Dakota
1999,Jason Glodt,Jason Glodt,South Dakota State University,University Of South Dakota
1999,David Gienapp,David Gienapp,South Dakota State University,University Of South Dakota
1999,Jack Rentschler,Jack Rentschler,South Dakota State University,University Of South Dakota
1999,Peter M Mattoon,Peter M Mattoon,Thomas Jefferson University,Widener University
1999,John A Krol,John A Krol,Tufts University,University Of Delaware
1999,Joseph Neubauer,Joseph Neubauer,Tufts University,University Of Chicago
1999,Hugo F Sonnenschein,Hugo F Sonnenschein,University Of Chicago,University Of Rochester
1999,John G Rowland,John G Rowland,University Of Connecticut,Yale University
1999,Sylvia Robinson,Sylvia Robinson,University Of Kansas,Wichita State University
1999,Hubert B Humphrey,Hubert B Humphrey,University Of North Carolina At Greensboro,Wake Forest University
1999,Rev Edward A Malloy Csc,Rev Edward A Malloy Csc,University Of Notre Dame,University Of St Thomas Minnesota
1999,Frederick Lippitt,Frederick Lippitt,Brown University,University Of Rhode Island
1999,Dale O Zabriskie,Dale O Zabriskie,University Of Utah,Utah State University
1999,Karen H Huntsman,Karen H Huntsman,University Of Utah,Utah State University
1999,Jay B Taggart,Jay B Taggart,University Of Utah,Utah State University
1999,Paul S Rogers,Paul S Rogers,University Of Utah,Utah State University
1999,Victor L Lund,Victor L Lund,University Of Utah,Utah State University
1999,Evelyn B Lee,Evelyn B Lee,University Of Utah,Utah State University
1999,L Brent Hoggan,L Brent Hoggan,University Of Utah,Utah State University
1999,Charles E Johnson,Charles E Johnson,University Of Utah,Utah State University
1999,David J Grant,David J Grant,University Of Utah,Utah State University
1999,Cecelia H Foxley,Cecelia H Foxley,University Of Utah,Utah State University
1999,Andrew Croshaw,Andrew Croshaw,University Of Utah,Utah State University
1999,Pamela J Atkinson,Pamela J Atkinson,University Of Utah,Utah State University
1999,Kenneth G Anderton,Kenneth G Anderton,University Of Utah,Utah State University
1999,Larzette G Hale,Larzette G Hale,University Of Utah,Utah State University
2000,G Ralph Thompson,G Ralph Thompson,Andrews University,Loma Linda University
2000,Alfred C Mcclure,Alfred C Mcclure,Andrews University,Loma Linda University
2000,Kay Mckay,Kay Mckay,Arizona State University,Northern Arizona University
2000,Kay Mckay,Kay Mckay,Arizona State University,University Of Arizona
2000,Kay Mckay,Kay Mckay,Northern Arizona University,University Of Arizona
2000,Donald J Ulrich,Donald J Ulrich,Arizona State University,Northern Arizona University
2000,Christine Thompson,Christine Thompson,Arizona State University,Northern Arizona University
2000,Christine Thompson,Christine Thompson,Arizona State University,University Of Arizona
2000,Christine Thompson,Christine Thompson,Northern Arizona University,University Of Arizona
2000,John F Munger,John F Munger,Arizona State University,Northern Arizona University
2000,John F Munger,John F Munger,Arizona State University,University Of Arizona
2000,John F Munger,John F Munger,Northern Arizona University,University Of Arizona
2000,Lisa Graham Keegan,Lisa Graham Keegan,Arizona State University,Northern Arizona University
2000,Lisa Graham Keegan,Lisa Graham Keegan,Arizona State University,University Of Arizona
2000,Lisa Graham Keegan,Lisa Graham Keegan,Northern Arizona University,University Of Arizona
2000,Chris Herstam,Chris Herstam,Arizona State University,Northern Arizona University
2000,Chris Herstam,Chris Herstam,Arizona State University,University Of Arizona
2000,Chris Herstam,Chris Herstam,Northern Arizona University,University Of Arizona
2000,Jane Dee Hull,Jane Dee Hull,Arizona State University,Northern Arizona University
2000,Jane Dee Hull,Jane Dee Hull,Arizona State University,University Of Arizona
2000,Jane Dee Hull,Jane Dee Hull,Northern Arizona University,University Of Arizona
2000,Rudy E Campbell,Rudy E Campbell,Arizona State University,Northern Arizona University
2000,Rudy E Campbell,Rudy E Campbell,Arizona State University,University Of Arizona
2000,Rudy E Campbell,Rudy E Campbell,Northern Arizona University,University Of Arizona
2000,George H Amos,George H Amos,Arizona State University,Northern Arizona University
2000,George H Amos,George H Amos,Arizona State University,University Of Arizona
2000,George H Amos,George H Amos,Northern Arizona University,University Of Arizona
2000,Jack Jewett,Jack Jewett,Arizona State University,Northern Arizona University
2000,Jack Jewett,Jack Jewett,Arizona State University,University Of Arizona
2000,Jack Jewett,Jack Jewett,Northern Arizona University,University Of Arizona
2000,Don Siegelman,Don Siegelman,Auburn University,University Of South Alabama
2000,Ed Richardson,Ed Richardson,Auburn University,University Of South Alabama
2000,Rev William P Leahy,Rev William P Leahy,Boston College,Loyola University Chicago
2000,Norman E Gaut,Norman E Gaut,Boston University,Massachusetts Institute Of Technology
2000,Robert Shapiro,Robert Shapiro,Brandeis University,Fordham University
2000,Joanne Leedomackerman,Joanne Leedomackerman,Brown University,Johns Hopkins University
2000,Martin Granoff,Martin Granoff,Brown University,Tufts University
2000,Mildred S Dresselhaus,Mildred S Dresselhaus,California Institute Of Technology,Harvard University
2000,George L Argyros,George L Argyros,California Institute Of Technology,Chapman University
2000,William S Dietrich Ii,William S Dietrich Ii,Carnegie Mellon University,University Of Pittsburgh
2000,Stanley R Gumberg,Stanley R Gumberg,Carnegie Mellon University,Duquesne University
2000,Carol R Brown,Carol R Brown,Carnegie Mellon University,Duquesne University
2000,Paul A Allaire,Paul A Allaire,Carnegie Mellon University,Worcester Polytechnic Institute
2000,Frank V Cahouet,Frank V Cahouet,Carnegie Mellon University,University Of Pittsburgh
2000,John G Rangos Sr,John G Rangos Sr,Carnegie Mellon University,Duquesne University
2000,Stephen J Jatras,Stephen J Jatras,Carnegie Mellon University,University Of Oklahoma
2000,David L Brennan,David L Brennan,Case Western Reserve University,Ohio State University
2000,Most Rev Theodore E Mccarrick,Most Rev Theodore E Mccarrick,Catholic University Of America,Seton Hall University
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,Kent State University
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,Ohio State University
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,Ohio University
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,University Of Akron
