Id,Label,Interlock_Count,AffiliationId,Board_Size
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,32
Rice University,Rice University,1,74775410,23
Rochester Institute Of Technology,Rochester Institute Of Technology,1,155173764,53
St Johns University,St Johns University,1,142823887,39
Stanford University,Stanford University,1,97018004,34
Tennessee Board of Regents,Tennessee Board of Regents,4,169615421,19
Tufts University,Tufts University,2,121934306,39
University Of Chicago,University Of Chicago,7,40347166,50
University Of Connecticut,University Of Connecticut,1,140172145,22
University Of New Mexico,University Of New Mexico,1,169521973,8
University Of Notre Dame,University Of Notre Dame,2,107639228,52
University Of Pittsburgh,University Of Pittsburgh,4,170201317,51
University Of San Diego,University Of San Diego,3,160856358,38
University Of South Alabama,University Of South Alabama,2,83809506,17
University Of St Thomas Minnesota,University Of St Thomas Minnesota,1,161515732,41
University Of Tulsa,University Of Tulsa,1,87208437,39
University Of Virginia,University Of Virginia,1,51556381,17
University System of Georgia,University System of Georgia,2,1289702989,18
University System of New Hampshire,University System of New Hampshire,1,2800453862,27
University System of Ohio,University System of Ohio,2,2802096936,98
University of Alabama System,University of Alabama System,2,2800507078,17
University of North Carolina System,University of North Carolina System,1,4210158053,99
University of Tennessee System,University of Tennessee System,4,2799495847,26
Vanderbilt University,Vanderbilt University,2,200719446,58
Virginia Commonwealth University,Virginia Commonwealth University,1,184840846,16
Wake Forest University,Wake Forest University,1,47251452,43
Washington State University,Washington State University,1,72951846,10
Yale University,Yale University,2,32971472,18
Yeshiva University,Yeshiva University,4,19772626,100
Andrews University,Andrews University,5,102298084,38
Auburn University,Auburn University,2,82497590,25
Boston College,Boston College,4,103531236,45
Brandeis University,Brandeis University,2,6902469,48
Brown University,Brown University,1,27804330,51
Carnegie Mellon University,Carnegie Mellon University,3,74973139,100
Catholic University Of America,Catholic University Of America,2,84470341,50
Chapman University,Chapman University,1,185071736,48
Clark Atlanta University,Clark Atlanta University,1,52064589,33
Clarkson University,Clarkson University,1,16944753,29
Clemson University,Clemson University,1,8078737,70
