Id,Label,Interlock_Count,AffiliationId,female_president,control,region,betweenness,closeness,eigenvector,degree,clustering
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,0.03225806451612903,165799507.0,False,Private,Northeast,0.0,0.005434782608695652,4.496174137150832e-17,1,0.0
Rice University,Rice University,0.05263157894736842,74775410.0,False,Private,South,0.0,0.037908172469781704,9.528583288491079e-17,1,0.0
Rochester Institute Of Technology,Rochester Institute Of Technology,0.022727272727272728,155173764.0,False,Private,Northeast,0.0,0.039549218897044984,5.317804407774575e-17,1,0.0
Rowan University,Rowan University,0.0,44265643.0,False,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,0.0,102322142.0,False,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Seton Hall University,Seton Hall University,0.10096153846153846,12524447.0,False,Private,Northeast,0.0001781895937277263,0.016304347826086956,1.1949550066563067e-16,3,0.0
South Dakota State University,South Dakota State University,0.5555555555555556,177156846.0,True,Public,Midwest,0.0,0.005434782608695652,2.8938009207012633e-12,1,0.0
Southern Illinois University,Southern Illinois University,0.0,2801502357.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
St Johns University,St Johns University,0.0,142823887.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Stanford University,Stanford University,0.0,97018004.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
State University Of New York At Albany,State University Of New York At Albany,0.1,392282.0,True,Public,Northeast,0.0,0.005434782608695652,2.5012778734031847e-16,1,0.0
State University Of New York At Buffalo,State University Of New York At Buffalo,0.0,63190737.0,False,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
State University Of New York At Stony Brook,State University Of New York At Stony Brook,0.0,59553526.0,True,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Syracuse University,Syracuse University,0.0,70983195.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Temple University,Temple University,0.07628205128205129,84392919.0,False,Public,Northeast,0.0,0.04350414078674948,2.1651914468802466e-16,2,0.03203417890926642
Texas Christian University,Texas Christian University,0.0,128956969.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Texas Tech University,Texas Tech University,0.0,12315562.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Texas Womans University,Texas Womans University,0.0,150913223.0,True,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Thomas Jefferson University,Thomas Jefferson University,0.038461538461538464,149251103.0,False,Private,Northeast,0.0,0.005434782608695652,5.285677713287681e-17,1,0.0
Tufts University,Tufts University,0.08940092165898617,121934306.0,False,Private,Northeast,0.003148016155856498,0.04833793420749942,2.4385394521765746e-16,3,0.0
Union Institute,Union Institute,0.0,204669301.0,False,Private,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Akron,University Of Akron,3.4841628959275983,110152177.0,True,Public,Midwest,0.0,0.03162055335968379,0.43394237862719254,6,0.5271142826761345
University Of Alabama,University Of Alabama,0.14583333333333331,17301866.0,False,Public,South,5.9396531242575434e-05,0.010869565217391304,2.764253524956673e-15,2,0.09539285354611098
University Of Arizona,University Of Arizona,1.9000000000000006,138006243.0,False,Public,West,0.0,0.010869565217391304,4.5894121629313004e-05,2,0.9352978616456158
University Of Chicago,University Of Chicago,0.12232142857142855,40347166.0,False,Private,Midwest,0.021026372059871703,0.056744531460977576,9.250975986745348e-16,5,0.0
University Of Cincinnati,University Of Cincinnati,3.13369849964277,63135867.0,False,Public,Midwest,0.0,0.03162055335968379,0.3970225624905435,6,0.49969779162527417
University Of Connecticut,University Of Connecticut,0.058823529411764705,140172145.0,False,Public,Northeast,0.0,0.005434782608695652,8.928863887932028e-17,1,0.0
University Of Dayton,University Of Dayton,0.0,127591826.0,False,Private,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Delaware,University Of Delaware,0.06451612903225806,86501945.0,False,Public,South,0.001781895937277263,0.04859505087881591,1.3715355990442715e-16,2,0.0
University Of Denver,University Of Denver,0.0,131651094.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Hartford,University Of Hartford,0.0,162281398.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Idaho,University Of Idaho,0.5,155093810.0,False,Public,West,0.0,0.005434782608695652,1.0839854092989834e-12,1,0.0
University Of Illinois At Urbana Champaign,University Of Illinois At Urbana Champaign,0.07692307692307693,157725225.0,False,Public,Midwest,0.0,0.005434782608695652,1.4110613392050932e-16,1,0.0
University Of Iowa,University Of Iowa,1.0000000000000002,126307644.0,True,Public,Midwest,0.0,0.005434782608695652,2.5607626392581823e-09,1,0.0
University Of Kansas,University Of Kansas,1.8888888888888895,146416000.0,False,Public,Midwest,0.0,0.010869565217391304,3.792286112751697e-05,2,0.9244816991341795
University Of Kentucky,University Of Kentucky,0.0,143302722.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of La Verne,University Of La Verne,0.0,708430.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Louisville,University Of Louisville,0.0,142740786.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Massachusetts Worcester,University Of Massachusetts Worcester,0.0,166722992.0,False,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Miami,University Of Miami,0.0,145608581.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Michigan,University Of Michigan,0.0,27837315.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Minnesota,University Of Minnesota,0.0,130238516.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Mississippi,University Of Mississippi,1.8181818181818177,368840534.0,False,Public,South,0.0,0.010869565217391304,4.700871225965242e-05,2,0.9384364685966975
University Of Missouri St Louis,University Of Missouri St Louis,0.0,208333798.0,True,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Montana Missoula,University Of Montana Missoula,0.0,6750721.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Nevada Reno,University Of Nevada Reno,0.0,134113660.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of New Mexico,University Of New Mexico,0.14285714285714285,169521973.0,False,Public,West,0.0,0.005434782608695652,7.020079177276516e-16,1,0.0
University Of North Carolina At Charlotte,University Of North Carolina At Charlotte,0.0,102149020.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of North Carolina At Greensboro,University Of North Carolina At Greensboro,0.16666666666666666,169335092.0,True,Public,South,0.0,0.005434782608695652,1.2249624105593943e-15,1,0.0
University Of North Carolina At Wilmington,University Of North Carolina At Wilmington,0.0,153901656.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of North Texas,University Of North Texas,0.1111111111111111,123534392.0,False,Public,South,0.0,0.005434782608695652,3.2810412250681304e-16,1,0.0
University Of Northern Colorado,University Of Northern Colorado,0.0,71966907.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Notre Dame,University Of Notre Dame,0.06705653021442495,107639228.0,False,Private,Midwest,0.018175338560228082,0.0605024474517708,1.1489057339356405e-16,3,0.0
University Of Oklahoma,University Of Oklahoma,0.4285714285714285,8692664.0,False,Public,South,0.0023758612497030173,0.039042177629134145,3.273058555710462e-14,3,0.017379044205904318
University Of Oregon,University Of Oregon,0.0,181233156.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Pacific,University Of Pacific,0.0,119942576.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Pittsburgh,University Of Pittsburgh,0.11549773755656108,170201317.0,False,Public,Northeast,0.019719648372535044,0.05342613780828883,7.990482620269809e-16,5,0.0032034178909266424
University Of Rhode Island,University Of Rhode Island,0.0625,17626003.0,False,Public,Northeast,0.0,0.030151384703687757,1.1512996349259399e-16,1,0.0
University Of Rochester,University Of Rochester,0.060801985370950884,5388228.0,False,Private,Northeast,0.01092896174863388,0.04783177782836331,1.622789268939413e-16,3,0.0
University Of San Diego,University Of San Diego,0.0,160856358.0,True,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of South Alabama,University Of South Alabama,0.22916666666666663,83809506.0,False,Public,South,0.0,0.010869565217391304,4.0062198594093134e-15,2,0.09539285354611098
University Of South Carolina,University Of South Carolina,0.0,155781252.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of South Dakota,University Of South Dakota,0.5555555555555556,189957204.0,False,Public,Midwest,0.0,0.005434782608695652,2.8938009207012633e-12,1,0.0
University Of Southern California,University Of Southern California,0.047619047619047616,1174212.0,False,Private,West,0.0023758612497030173,0.03887604070305273,7.919550839322776e-16,2,0.0
University Of Southern Mississippi,University Of Southern Mississippi,1.9090909090909085,44854399.0,False,Public,South,0.0,0.010869565217391304,4.85928844867508e-05,2,0.9384364685966975
University Of St Thomas Minnesota,University Of St Thomas Minnesota,0.05756578947368421,161515732.0,False,Private,Midwest,0.01146353052981706,0.059323828345567466,1.2351600519543362e-16,2,0.0
University Of Texas At Brownsville/Texas Southmost College,University Of Texas At Brownsville/Texas Southmost College,0.0,2802326326.0,True,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Toledo,University Of Toledo,3.0620534779977486,90871651.0,False,Public,Midwest,0.0,0.03162055335968379,0.3895587600600079,6,0.49343948374290325
University Of Tulsa,University Of Tulsa,0.0992063492063492,87208437.0,False,Private,South,0.0,0.03887604070305273,8.531530572815421e-15,2,0.05213713261771295
University Of Utah,University Of Utah,0.5185185185185185,223532165.0,False,Public,West,0.0,0.005434782608695652,1.5097392334732037e-12,1,0.0
University Of Vermont,University Of Vermont,0.0,111236770.0,True,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Virginia,University Of Virginia,0.0,51556381.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Washington,University Of Washington,0.0,201448701.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
University Of Wyoming,University Of Wyoming,0.0,12834331.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
Utah State University,Utah State University,0.5185185185185185,121980950.0,False,Public,West,0.0,0.005434782608695652,1.5097392334732037e-12,1,0.0
Vanderbilt University,Vanderbilt University,0.0,200719446.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Villanova University,Villanova University,0.038461538461538464,7863295.0,False,Private,Northeast,0.0,0.009782608695652173,7.771685701285753e-17,1,0.0
Virginia Commonwealth University,Virginia Commonwealth University,0.0,184840846.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,0.0,859038795.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Wake Forest University,Wake Forest University,0.16666666666666666,47251452.0,False,Private,South,0.0,0.005434782608695652,1.2249624105593943e-15,1,0.0
Washington State University,Washington State University,0.0,72951846.0,False,Public,West,0.0,0.0,1.9079168433384416e-17,0,0.0
Washington University,Washington University,0.0,204465549.0,False,Private,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Wayne State University,Wayne State University,0.0,185443292.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
West Chester University Of Pennsylvania,West Chester University Of Pennsylvania,0.09090909090909091,161171246.0,True,Public,Northeast,0.0,0.005434782608695652,1.9991739588057615e-16,1,0.0
West Virginia University,West Virginia University,0.9375,12097938.0,False,Public,South,0.0,0.005434782608695652,1.0866398903153897e-09,1,0.0
Western Michigan University,Western Michigan University,0.0,141649380.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Wichita State University,Wichita State University,1.8888888888888895,39587148.0,False,Public,Midwest,0.0,0.010869565217391304,3.792286112751697e-05,2,0.9244816991341795
Widener University,Widener University,0.038461538461538464,138659443.0,False,Private,Northeast,0.0,0.005434782608695652,5.285677713287681e-17,1,0.0
Worcester Polytechnic Institute,Worcester Polytechnic Institute,0.02631578947368421,107077323.0,False,Private,Northeast,0.0,0.03854797284901853,8.485417656142745e-16,1,0.0
Wright State University,Wright State University,0.0,19648265.0,True,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Yale University,Yale University,0.058823529411764705,32971472.0,False,Private,Northeast,0.0,0.005434782608695652,8.928863887932028e-17,1,0.0
Yeshiva University,Yeshiva University,0.06673117239154974,19772626.0,False,Private,Northeast,0.00831551437396056,0.056744531460977576,1.1045139419468322e-16,3,0.0
