Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e120,New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,1,1999,Paul E. Lego,Paul E. Lego
e121,Rochester Institute Of Technology,University Of Rochester,Undirected,1,1999,James S. Gleason,James S. Gleason
e122,Johns Hopkins University,University Of Rochester,Undirected,1,1999,Ernest A. Bates,Ernest A. Bates
e123,University Of Chicago,University Of Rochester,Undirected,1,1999,Hugo F. Sonnenschein,Hugo F. Sonnenschein
e124,Auburn University,University Of South Alabama,Undirected,1,1999,"Fob James, Jr","Fob James, Jr."
e125,Auburn University,University Of South Alabama,Undirected,1,1999,Ed Richardson,Ed Richardson
e126,University Of Alabama,University Of South Alabama,Undirected,1,1999,Ed Richardson,Ed Richardson
e127,South Dakota State University,University Of South Dakota,Undirected,1,1999,David Gienapp,David Gienapp
e128,South Dakota State University,University Of South Dakota,Undirected,1,1999,Jason Glodt,Jason Glodt
e129,South Dakota State University,University Of South Dakota,Undirected,1,1999,Jack Rentschler,Jack Rentschler
e130,South Dakota State University,University Of South Dakota,Undirected,1,1999,Robert T. Perry,Robert T. Perry
e131,South Dakota State University,University Of South Dakota,Undirected,1,1999,Pat Lebrun,Pat Lebrun
e132,Carnegie Mellon University,University Of Southern California,Undirected,1,1999,David A. Coulter,David A. Coulter
e133,Loyola Marymount University,University Of Southern California,Undirected,1,1999,Kathleen L. McCarthy,Kathleen L. McCarthy
e134,Marquette University,University Of St Thomas Minnesota,Undirected,1,1999,Gerald A. Rauenhorst,Gerald A. Rauenhorst
e135,University Of Notre Dame,University Of St Thomas Minnesota,Undirected,1,1999,"Rev. Edward A. Malloy, C.S.C","Rev. Edward A. Malloy, C.S.C"
e136,Carnegie Mellon University,University Of Tulsa,Undirected,1,1999,Stephen J. Jatras,Stephen J. Jatras
e137,University Of Oklahoma,University Of Tulsa,Undirected,1,1999,Stephen J. Jatras,Stephen J. Jatras
e138,University Of Utah,Utah State University,Undirected,1,1999,Andrew Croshaw,Andrew Croshaw
e139,University Of Utah,Utah State University,Undirected,1,1999,David J. Grant,David J. Grant
e140,University Of Utah,Utah State University,Undirected,1,1999,Kenneth G. Anderton,Kenneth G. Anderton
e141,University Of Utah,Utah State University,Undirected,1,1999,Pamela J. Atkinson,Pamela J. Atkinson
e142,University Of Utah,Utah State University,Undirected,1,1999,Larzette G. Hale,Larzette G. Hale
e143,University Of Utah,Utah State University,Undirected,1,1999,L. Brent Hoggan,L. Brent Hoggan
e144,University Of Utah,Utah State University,Undirected,1,1999,Cecelia H. Foxley,Cecelia H. Foxley
e145,University Of Utah,Utah State University,Undirected,1,1999,Charles E. Johnson,Charles E. Johnson
e146,University Of Utah,Utah State University,Undirected,1,1999,Karen H. Huntsman,Karen H. Huntsman
e147,University Of Utah,Utah State University,Undirected,1,1999,Dale O. Zabriskie,Dale O. Zabriskie
e148,University Of Utah,Utah State University,Undirected,1,1999,Paul S. Rogers,Paul S. Rogers
e149,University Of Utah,Utah State University,Undirected,1,1999,Victor L. Lund,Victor L. Lund
e150,University Of Utah,Utah State University,Undirected,1,1999,Jay B. Taggart,Jay B. Taggart
e151,University Of Utah,Utah State University,Undirected,1,1999,Evelyn B. Lee,Evelyn B. Lee
e152,Seton Hall University,Villanova University,Undirected,1,1999,Lawrence E. Bathgate II,Lawrence E. Bathgate II
e153,University Of North Carolina At Greensboro,Wake Forest University,Undirected,1,1999,Hubert B. Humphrey,Hubert B. Humphrey
e154,Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1,1999,James H. McCormick,James H. McCormick
e155,Thomas Jefferson University,Widener University,Undirected,1,1999,Peter M. Mattoon,Peter M. Mattoon
e156,Carnegie Mellon University,Worcester Polytechnic Institute,Undirected,1,1999,Paul A. Allaire,Paul A. Allaire
e157,University Of Connecticut,Yale University,Undirected,1,1999,John G. Rowland,John G. Rowland
e158,Brown University,University Of Rhode Island,Undirected,1,1999,Frederick Lippitt,Frederick Lippitt
e159,Cleveland State University,Kent State University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e160,Cleveland State University,Ohio University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e161,Cleveland State University,University Of Akron,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e162,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e163,Cleveland State University,Kent State University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e164,Cleveland State University,Ohio University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e165,Cleveland State University,University Of Akron,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e166,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e167,Cleveland State University,Kent State University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e168,Cleveland State University,Ohio University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e169,Cleveland State University,University Of Akron,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e170,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e171,Cleveland State University,Kent State University,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e172,Cleveland State University,Ohio University,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e173,Cleveland State University,University Of Akron,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e174,Cleveland State University,University Of Cincinnati,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e175,Cleveland State University,Kent State University,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e176,Cleveland State University,Ohio University,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e177,Cleveland State University,University Of Akron,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e178,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e179,Cleveland State University,Kent State University,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e180,Cleveland State University,Ohio University,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e181,Cleveland State University,University Of Akron,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e182,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e183,Cleveland State University,Kent State University,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e184,Cleveland State University,Ohio University,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e185,Cleveland State University,University Of Akron,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e186,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e187,Cleveland State University,Kent State University,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e188,Cleveland State University,Ohio University,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e189,Cleveland State University,University Of Akron,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e190,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e191,Cleveland State University,Kent State University,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e192,Cleveland State University,Ohio University,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e193,Cleveland State University,University Of Akron,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
