Institution,AffiliationId,eigenvector,betweenness,degree,strength,clustering,Year
Purdue University West Lafayette,219193219.0,,,,,,1999
Rensselaer Polytechnic Institute,165799507.0,1.4381837795550626e-06,0.0,1.0,0.018348623853211,0.0,1999
Rice University,74775410.0,9.58443170633447e-07,0.0,1.0,0.0169491525423728,0.0,1999
Rochester Institute of Technology,155173764.0,1.1679063198610787e-06,0.0,1.0,0.0192307692307692,0.0,1999
Rowan University,44265643.0,,,,,,1999
Rutgers State University of New Jersey,102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
Rutgers State University of New Jersey New Brunswick,102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
Rutgers State University of New Jersey Newark,102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, State University of New Jersey",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, State University of New Jersey, New Brunswick",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, State University of New Jersey, Newark",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, The State University of New Jersey",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, The State University of New Jersey, New Brunswick",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
"Rutgers, The State University of New Jersey, Newark",102322142.0,9.926624870931383e-07,0.015873015873015872,2.0,0.019367448471926,0.0,1999
SUNY Binghamton,123946342.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
SUNY Stony Brook,59553526.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
Sam Houston State University,191429286.0,,,,,,1999
San Diego State University,26538001.0,4.9323708504881454e-06,0.0,1.0,0.0612244897959183,0.0,1999
San Francisco State University,71838634.0,4.9323708504881454e-06,0.0,1.0,0.0612244897959183,0.0,1999
Seton Hall University,12524447.0,2.0512493304231556e-06,0.07915893630179344,4.0,0.0523106878023346,0.0,1999
Southern Illinois University,2801502357.0,,,,,,1999
Southern Illinois University System,2801502357.0,,,,,,1999
Southwest Texas State University,13511017.0,,,,,,1999
St John's University,142823887.0,1.716662816897295e-06,0.023912595341166767,2.0,0.0282945736434107,0.0,1999
