AffiliationId,Institution,StateSystem
24571045,University of North Dakota,North Dakota University System
24571045,North Dakota University,North Dakota University System
205944377,Valley City State University,North Dakota University System
95240055,Northeast Ohio Medical University,University System of Ohio
95240055,Northeastern Ohio Universities College of Medicine,University System of Ohio
12912129,Northeastern University,
203172682,Northern Arizona University,Arizona Board of Regents
102502594,Northern Illinois University,
111979921,Northwestern University,
203088144,Nova Southeastern University,
177721651,Oakland University,
70571728,Oberlin College,
72903472,Occidental College,
52357470,The Ohio State University,University System of Ohio
52357470,Ohio State University,University System of Ohio
4210106879,Ohio University,University System of Ohio
81461992,Ohio Wesleyan University,
115475287,Oklahoma State University,Oklahoma State System
81365321,Old Dominion University,
189981527,Oral Roberts University,
165690674,Oregon Health & Science University,
165690674,Oregon Health and Science University,
2800918300,Oregon University System,
207168215,Eastern Oregon University,Oregon University System
129871486,Oregon Institute of Technology,Oregon University System
131249849,Oregon State University,Oregon University System
126345244,Portland State University,Oregon University System
75909800,Southern Oregon University,Oregon University System
181233156,University of Oregon,Oregon University System
95781656,Western Oregon University,Oregon University System
126863827,Pace University,
60065076,Pacific Lutheran University,
4210149261,Pacific University,
29957033,Pennsylvania State System of Higher Education,Pennsylvania State System
190816365,Bloomsburg University,Pennsylvania State System
190816365,Bloomsburg University of Pennsylvania,Pennsylvania State System
36788626,California University of Pennsylvania,Pennsylvania State System
49631817,Cheyney University,Pennsylvania State System
49631817,Cheyney University of Pennsylvania,Pennsylvania State System
114686714,Clarion University,Pennsylvania State System
114686714,Clarion University of Pennsylvania,Pennsylvania State System
79060951,East Stroudsburg University,Pennsylvania State System
79060951,East Stroudsburg University of Pennsylvania,Pennsylvania State System
155159281,Edinboro University,Pennsylvania State System
155159281,Edinboro University of Pennsylvania,Pennsylvania State System
200885203,Indiana University of Pennsylvania,Pennsylvania State System
2132711,Kutztown University,Pennsylvania State System
2132711,Kutztown University of Pennsylvania,Pennsylvania State System
63329203,Lock Haven University,Pennsylvania State System
63329203,Lock Haven University of Pennsylvania,Pennsylvania State System
131579929,Mansfield University,Pennsylvania State System
131579929,Mansfield University of Pennsylvania,Pennsylvania State System
104651037,Millersville University,Pennsylvania State System
104651037,Millersville University of Pennsylvania,Pennsylvania State System
139418187,Shippensburg University,Pennsylvania State System
139418187,Shippensburg University of Pennsylvania,Pennsylvania State System
169494899,Slippery Rock University,Pennsylvania State System
169494899,Slippery Rock University of Pennsylvania,Pennsylvania State System
161171246,West Chester University,Pennsylvania State System
161171246,West Chester University of Pennsylvania,Pennsylvania State System
130769515,Pennsylvania State University,Pennsylvania State System
130769515,Pennsylvania State University (PSU),Pennsylvania State System
100191712,Pepperdine University,
60262850,Phillips University,
57206974,Brooklyn Polytechnic University,
57206974,Polytechnic University,
57206974,New York University-Polytechnic,
57206974,New York University Polytechnic,
177881444,Pomona College,
177881444,Pomona University,
20089843,Princeton University,
196272386,Providence College,
196272386,Providence University,
219193219,Purdue University West Lafayette,
219193219,Purdue University,
4210130184,Indiana University-Purdue University Fort Wayne,
4210130184,Indiana University Purdue University Fort Wayne,
4210130184,Purdue University Fort Wayne,
117015748,Purdue University Calumet,
117015748,Purdue University Northwest,
117015748,Purdue University North Central,
40889946,Queens University of Charlotte,City University of New York System
40889946,Queens College,City University of New York System
43267033,Quinnipiac University,
43267033,Quinnipiac College,
53559539,Radford University,
,Ramapo College of New Jersey,
55486353,Reed College,
128365640,Regis University,
165799507,Rensselaer Polytechnic Institute,
117979880,Rhodes College,
74775410,Rice University,
186776151,Rider University,
155173764,Rochester Institute of Technology,
83399316,Rockefeller University,
192972912,Rockford College,
192972912,Rockford University,
90840245,Rollins College,
44265643,Rowan University,
102322142,"Rutgers, The State University of New Jersey",New Jersey University System
102322142,"Rutgers, State University of New Jersey",New Jersey University System
102322142,Rutgers State University of New Jersey,New Jersey University System
102322142,"Rutgers, The State University of New Jersey, New Brunswick",New Jersey University System
102322142,"Rutgers, State University of New Jersey, New Brunswick",New Jersey University System
102322142,Rutgers State University of New Jersey New Brunswick,New Jersey University System
102322142,"Rutgers, The State University of New Jersey, Newark",New Jersey University System
102322142,"Rutgers, State University of New Jersey, Newark",New Jersey University System
102322142,Rutgers State University of New Jersey Newark,New Jersey University System
117309725,St Bonaventure University,
9224006,St Edward's University,
9224006,St Edwards University,
910567637,St John Fisher College,
4210131395,St John's College,
4210131395,St Johns College,
4210131395,St John's College New Mexico,
142823887,St John's University,
142823887,St Johns University,
51077184,Saint Joseph's University,
51077184,Saint Josephs University,
100236772,St Lawrence University,
47838141,Saint Louis University,
177081203,Saint Mary's College of California,
177081203,Saint Marys College of California,
189060766,"St Mary's University, Texas",
189060766,St Mary's University,
189060766,St Marys University,
4210147856,Saint Mary's University of Minnesota,
4210147856,Saint Marys University of Minnesota,
55801708,Saint Michael's College,
55801708,St Michael's College,
55801708,St Michaels College,
24861097,St Olaf College,
198985290,Saint Xavier University,
83321563,Samford University,
16269868,Santa Clara University,
56327960,Sarah Lawrence College,
16970960,Scripps College,
11317958,Seattle Pacific University,
58610484,Seattle University,
12524447,Seton Hall University,
179245896,Simmons University,
179245896,Simmons College,
21104390,Skidmore College,
202524275,Smith College,
,South Dakota Board Of Regents,
177156846,South Dakota State University,South Dakota University System
161165907,Southeast Missouri State University,
161165907,Southeast Missouri University,
2801502357,Southern Illinois University System,
2801502357,Southern Illinois University,
110378019,Southern Illinois University Carbondale,
110378019,Southern Illinois University at Carbondale,
87547150,Southern Illinois University Edwardsville,
87547150,Southern Illinois University at Edwardsville,
178169726,Southern Methodist University,
119942284,Missouri State University,
119942284,Southwest Missouri State University,
164141967,Spring Arbor University,
50213246,Spring Hill College,
97018004,Stanford University,
1327163397,State University of New York System,State University of New York System
1327163397,State University of New York,State University of New York System
392282,"University at Albany, State University of New York",State University of New York System
392282,"University at Albany, SUNY",State University of New York System
392282,University at Albany,State University of New York System
392282,State University of New York at Albany,State University of New York System
123946342,SUNY Binghamton,State University of New York System
123946342,Binghamton University,State University of New York System
123946342,"Binghamton University, SUNY",State University of New York System
123946342,State University of New York at Binghamton,State University of New York System
4864440,State University of New York at Brockport,State University of New York System
4864440,SUNY Brockport,State University of New York System
4864440,Brockport College,State University of New York System
181697535,Health Science Center at Brooklyn,State University of New York System
181697535,SUNY Downstate Medical Center,State University of New York System
181697535,State University of New York Downstate Medical Center,State University of New York System
115441956,SUNY Buffalo State University,State University of New York System
115441956,SUNY Buffalo State College,State University of New York System
115441956,Buffalo State University,State University of New York System
115441956,Buffalo State College,State University of New York System
63190737,"University at Buffalo, State University of New York",State University of New York System
63190737,"University at Buffalo, SUNY",State University of New York System
63190737,University at Buffalo,State University of New York System
63190737,State University of New York at Buffalo,State University of New York System
880615350,State University of New York College at Cortland,State University of New York System
880615350,SUNY College at Cortland,State University of New York System
880615350,Cortland College,State University of New York System
88081825,Empire State University,State University of New York System
88081825,Empire State College,State University of New York System
88081825,State University of New York at Empire State College,State University of New York System
88081825,State University of New York at Empire State,State University of New York System
61032284,SUNY Fredonia,State University of New York System
61032284,State University of New York at Fredonia,State University of New York System
27559774,State University of New York at Geneseo,State University of New York System
27559774,SUNY Geneseo,State University of New York System
157455823,State University of New York at New Paltz,State University of New York System
157455823,SUNY New Paltz,State University of New York System
138168422,SUNY College at Old Westbury,State University of New York System
138168422,State University of New York at Old Westbury,State University of New York System
122713931,SUNY Oneonta,State University of New York System
122713931,State University of New York at Oneonta,State University of New York System
122713931,State University of New York College at Oneonta,State University of New York System
43742981,State University of New York at Oswego,State University of New York System
43742981,State University at Oswego,State University of New York System
43742981,SUNY Oswego,State University of New York System
63475719,SUNY Plattsburgh,State University of New York System
63475719,State University of New York at Plattsburgh,State University of New York System
63475719,State University of New York College at Plattsburgh,State University of New York System
83328411,State University of New York at Potsdam,State University of New York System
83328411,SUNY Potsdam,State University of New York System
103497121,Purchase College,State University of New York System
103497121,State University of New York at Purchase,State University of New York System
59553526,Stony Brook University,State University of New York System
59553526,"Stony Brook University, State University of New York",State University of New York System
59553526,SUNY Stony Brook,State University of New York System
59553526,State University of New York at Stony Brook,State University of New York System
59553526,"State University of New York, Stony Brook",State University of New York System
20388574,SUNY Upstate Medical University,State University of New York System
20388574,Upstate Medical University,State University of New York System
20388574,State University of New York Upstate Medical University,State University of New York System
20388574,Health Science Center at Syracuse,State University of New York System
2801649442,State University System of Florida,Florida State University System
63772739,Florida Atlantic University,Florida State University System
2801014300,Florida Gulf Coast University,Florida State University System
106959904,Florida Institute of Technology,
19700959,Florida International University,Florida State University System
103163165,Florida State University,Florida State University System
201193091,Stephen F. Austin State University,
201193091,Stephen E Austin State University,
99490713,Stetson University,
108468826,Stevens Institute of Technology,
108468826,Stevens University,
24306055,Suffolk University,
118020396,Swarthmore College,
118020396,Swarthmore University,
2125089,Sweet Briar College,
70983195,Syracuse University,
84392919,Temple University,
75256744,Tennessee State University,Tennessee Board of Regents
63920570,Tennessee Technological University,Tennessee Board of Regents
173268674,Texas A&M University System,
125029298,Texas A&M Health Science Center,Texas A&M System
125029298,Health Science Center,Texas A&M System
,Baylor College of Dentistry,Texas A&M System
,Texas A&M University Baylor College of Dentistry,Texas A&M System
,Texas A&M University School of Dentistry,Texas A&M System
250520410,Prairie View A&M University,Texas A&M System
75063564,Tarleton State University,Texas A&M System
131740757,Texas A&M International University,Texas A&M System
91045830,Texas A&M University,Texas A&M System
91045830,Texas A&M University-College Station,Texas A&M System
206651237,Texas A&M University-Commerce,Texas A&M System
96749437,Texas A&M University-Corpus Christi,Texas A&M System
164185940,Texas A&M University at Galveston,Texas A&M System
164185940,Texas A&M University Galveston,Texas A&M System
181414168,Texas A&M University-Kingsville,Texas A&M System
51380931,Texas A&M University-Texarkana,Texas A&M System
188674872,West Texas A&M University,Texas A&M System
128956969,Texas Christian University,
2801273398,Texas State University System,Texas State System
41644977,Angelo State University,Texas Tech University System
177898655,Lamar University,Texas State System
,Lamar Institute of Technology,Texas State System
4210117491,Lamar State College–Port Arthur,Texas State System
3024311316,Lamar Community College,Texas State System
3024311316,Lamar State College–Orange,Texas State System
191429286,Sam Houston State University,Texas State System
162709352,Sul Ross State University,Texas State System
13511017,Texas State University,
13511017,Texas State University-San Marcos,Texas State System
13511017,Southwest Texas State University,
4210088475,Texas Tech University System,
12315562,Texas Tech University,Texas Tech University System
926076166,Texas Tech University Health Sciences Center,Texas Tech University System
142374663,Texas Wesleyan University,
150913223,Texas Woman's University,
,Tennessee Board of Regents,Tennessee Board of Regents
149251103,Thomas Jefferson University,
149251103,Jefferson University,
56722557,Trinity College,
60060512,Trinity University,
199639920,Truman State University,
121934306,Tufts University,
114832834,Tulane University,
6026837,Tuskegee University,
177328695,Union College,
204669301,Union Institute,
204669301,Union Institute & University,
204669301,Union Institute and University,
2,United States International University,University System of Georgia
430641,US Air Force Academy,
430641,United States Air Force Academy,
186274478,United States Coast Guard Academy,
186274478,US Coast Guard Academy,
157438962,United States Merchant Marine Academy,
192545095,United States Military Academy,
192545095,US Military Academy,
189158971,United States Naval Academy,
189158971,US Naval Academy,
68260882,Nevada System of Higher Education,
68260882,University and Community College System of Nevada,
133999245,"University of Nevada, Las Vegas",Nevada System of Higher Education
133999245,University of Nevada Las Vegas,Nevada System of Higher Education
134113660,University of Nevada Reno,Nevada System of Higher Education
134113660,"University of Nevada, Reno",Nevada System of Higher Education
110152177,University of Akron,University System of Ohio
2800507078,University of Alabama System,University of Albama System
32389192,University of Alabama at Birmingham,University of Alabama System
82495205,University of Alabama in Huntsville,University of Alabama System
82495205,University of Alabama Huntsville,University of Alabama System
17301866,University of Alabama,University of Alabama System
17301866,University of Alabama-Tuscaloosa,University of Alabama System
17301866,University of Alabama - Tuscaloosa,University of Alabama System
17301866,Universitv of Alabama Tuscaloosa,University of Alabama System
2802090665,University of Alaska System,University of Alaska System
147853995,University of Alaska Anchorage,University of Alaska System
141472210,University of Alaska Fairbanks,University of Alaska System
90464598,University of Alaska Southeast,University of Alaska System
138006243,University of Arizona,Arizona Board of Regents
2799691083,University of Arkansas System,University of Arkansas System
78715868,"University of Arkansas, Fayetteville",University of Arkansas System
78715868,University of Arkansas at Fayetteville,University of Arkansas System
78715868,University of Arkansas,University of Arkansas System
102401767,University of Arkansas at Little Rock,University of Arkansas System
79620101,University of Arkansas for Medical Sciences,University of Arkansas System
169655526,University of Arkansas at Monticello,University of Arkansas System
94525581,University of Arkansas at Pine Bluff,University of Arkansas System
2803209242,University of California System,University of California System
95457486,"University of California, Berkeley",University of California System
95457486,University of California Berkeley,University of California System
84218800,"University of California, Davis",University of California System
84218800,University of California Davis,University of California System
204250578,"University of California, Irvine",University of California System
204250578,University of California Irvine,University of California System
161318765,"University of California, Los Angeles",University of California System
161318765,University of California Los Angeles,University of California System
156087764,"University of California, Merced",University of California System
156087764,University of California Merced,University of California System
103635307,"University of California, Riverside",University of California System
103635307,University of California Riverside,University of California System
36258959,"University of California, San Diego",University of California System
36258959,University of California San Diego,University of California System
180670191,"University of California, San Francisco",University of California System
154570441,"University of California, Santa Barbara",University of California System
185103710,"University of California, Santa Cruz",University of California System
32038505,University of Central Arkansas,
106165777,University of Central Florida,Florida State University System
48380244,University of Charleston,
40347166,University of Chicago,
63135867,University of Cincinnati,University System of Ohio
2802236040,University of Colorado System,
188538660,University of Colorado Boulder,University of Colorado System
188538660,University of Colorado at Boulder,University of Colorado System
888729015,University of Colorado Colorado Springs,University of Colorado System
888729015,University of Colorado at Colorado Springs,University of Colorado System
921990950,University of Colorado Denver,University of Colorado System
921990950,University of Colorado at Denver,University of Colorado System
921990950,University of Colorado at Denver Health Sciences Center,University of Colorado System
921990950,University of Colorado Health Sciences Center,University of Colorado System
140172145,University of Connecticut,
127591826,University of Dayton,
86501945,University of Delaware,
131651094,University of Denver,
71792333,University of Detroit Mercy,
155997454,University of Evansville,
33213144,University of Florida,Florida State University System
162281398,University of Hartford,
162281398,Hartford University,
1331384533,University of Hawaii System,University of Hawaii System
35722693,University of Hawaii at Hilo,University of Hawaii System
117965899,University of Hawaii at Manoa,University of Hawaii System
117965899,University of Hawaii Manoa,University of Hawaii System
25390106,University of Hawaii–West Oahu,University of Hawaii System
2801525821,University of Houston System,University of Houston System
44461941,University of Houston,University of Houston System
52913039,University of Houston - Clear Lake,University of Houston System
52913039,University of Houston-Clear Lake,University of Houston System
16277215,University of Houston - Downtown,University of Houston System
16277215,University of Houston-Downtown,University of Houston System
173388201,University of Houston-Victoria,University of Houston System
155093810,University of Idaho,
2801919071,University of Illinois System,University of Illinois System
2801919071,University of Illinois,University of Illinois System
39422238,University of Illinois at Chicago,University of Illinois System
39422238,University of Illinois Chicago,University of Illinois System
79884896,University of Illinois at Springfield,University of Illinois System
79884896,University of Illinois Springfield,University of Illinois System
157725225,University of Illinois Urbana-Champaign,University of Illinois System
