Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,carnegie_id_x,state,control,StateSystem,region,num_billionaires,carnegie_id_y,year_x,admissions.admission_rate.overall,carnegie_id,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,betweenness,closeness,eigenvector,degree,clustering
1999,Florida Institute Of Technology,106959904.0,True,True,27,21,5,1,20,19,1,0,0.0,0,0,0,0,0,0,133881.0,FL,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Fordham University,164389053.0,False,True,35,29,6,0,24,23,1,0,0.0,0,0,0,0,0,0,191241.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,George Mason University,162714631.0,False,True,15,11,4,0,10,10,0,0,0.0,0,0,0,0,0,0,232186.0,VA,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,George Washington University,193531525.0,False,True,44,33,9,2,36,34,2,0,0.0,0,0,0,0,0,0,131469.0,DC,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Georgetown University,184565670.0,False,True,43,32,7,4,30,28,2,0,0.0,0,0,0,0,0,0,131496.0,DC,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Harvard University,136199984.0,False,True,39,16,9,0,27,17,1,0,0.0,0,0,0,0,0,0,166027.0,MA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Hofstra University,139290212.0,False,True,40,30,10,0,37,35,2,0,0.0,0,0,0,0,0,0,191649.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Howard University,137853757.0,False,True,27,18,5,4,17,15,2,0,0.0,0,0,0,0,0,0,131520.0,DC,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Illinois Institute Of Technology,180949307.0,False,True,60,49,6,5,51,50,1,0,0.0,0,0,0,0,0,0,145725.0,IL,Private,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Illinois State University,47301684.0,False,True,7,5,2,0,6,5,1,0,0.0,0,0,0,0,0,0,145813.0,IL,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Indiana State University,86420138.0,False,True,9,6,3,0,6,6,0,0,0.0,0,0,0,0,0,0,151324.0,IN,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,James Madison University,11883440.0,False,True,17,11,5,1,12,9,3,0,0.0,0,0,0,0,0,0,232423.0,VA,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Johns Hopkins University,145311948.0,False,True,62,46,8,8,45,41,4,0,0.0,0,0,0,0,0,0,162928.0,MD,Private,False,South,2,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Kent State University,149910238.0,True,True,8,6,2,0,8,8,0,0,0.0,0,0,0,0,0,0,203517.0,OH,Public,University System of Ohio,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Lehigh University,186143895.0,False,True,38,28,9,1,29,28,1,0,0.0,0,0,0,0,0,0,213543.0,PA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Loma Linda University,26347476.0,True,True,25,20,5,0,17,13,4,0,0.0,0,0,0,0,0,0,117636.0,CA,Private,False,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Long Island University,138873065.0,False,True,130,55,10,0,81,40,1,0,0.0,0,0,0,0,0,0,192448.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Louisiana State University System,107341208.0,False,True,16,11,4,1,12,12,0,0,0.0,0,0,0,0,0,0,,,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Loyola Marymount University,35566140.0,False,True,52,21,4,2,45,19,4,0,0.0,0,0,0,0,0,0,117946.0,CA,Private,False,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Loyola University Chicago,1925986.0,False,True,4,2,1,1,2,2,0,0,0.0,0,0,0,0,0,0,146719.0,IL,Private,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Marquette University,102461120.0,False,True,38,34,4,0,24,24,0,0,0.0,0,0,0,0,0,0,239105.0,WI,Private,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Marshall University,88694374.0,False,True,17,12,5,0,11,11,0,0,0.0,0,0,0,0,0,0,237525.0,WV,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Massachusetts Institute Of Technology,63966007.0,False,True,56,42,13,1,44,40,4,0,0.0,0,0,0,0,0,0,166683.0,MA,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Mercer University,150149174.0,False,True,45,39,5,1,26,26,0,0,0.0,0,0,0,0,0,0,140447.0,GA,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Michigan State University,87216513.0,False,True,12,7,5,0,8,7,1,0,0.0,0,0,0,0,0,0,171100.0,MI,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Michigan Technological University,11957088.0,False,True,4,4,0,0,2,2,0,0,0.0,0,0,0,0,0,0,171128.0,MI,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Montclair State University,166088655.0,True,True,13,7,6,0,11,9,2,0,0.0,0,0,0,0,0,0,185590.0,NJ,Public,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,New Jersey Institute Of Technology,118118575.0,False,True,65,44,3,0,52,32,4,0,0.0,0,0,0,0,0,0,185828.0,NJ,Public,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,New School,102179633.0,False,True,52,39,9,4,38,34,4,0,0.0,0,0,0,0,0,0,193654.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,New York University,57206974.0,False,True,79,68,9,2,57,50,7,0,0.0,0,0,0,0,0,0,193900.0,NY,Private,False,Northeast,4,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,North Dakota University System,4210127926.0,False,True,17,8,3,1,15,12,0,0,0.0,0,0,0,0,0,0,,,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Northern Illinois University,102502594.0,False,True,8,7,1,0,7,6,1,0,0.0,0,0,0,0,0,0,147703.0,IL,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Nova Southeastern University,203088144.0,False,True,31,27,2,2,20,18,2,0,0.0,0,0,0,0,0,0,136215.0,FL,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Oakland University,177721651.0,False,True,8,7,1,0,6,6,0,0,0.0,0,0,0,0,0,0,171571.0,MI,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Ohio State University,52357470.0,False,True,4,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,204796.0,OH,Public,University System of Ohio,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Ohio University,4210106879.0,False,True,12,10,1,1,10,9,1,0,0.0,0,0,0,0,0,0,204857.0,OH,Public,University System of Ohio,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Old Dominion University,81365321.0,False,True,16,9,6,1,10,9,1,0,0.0,0,0,0,0,0,0,232982.0,VA,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Pace University,126863827.0,True,True,35,27,7,1,26,26,0,0,0.0,0,0,0,0,0,0,194310.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Pennsylvania State System Of Higher Education,29957033.0,False,True,31,13,3,1,27,14,0,0,0.0,0,0,0,0,0,0,,,Public,Pennsylvania State System,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Pennsylvania State University,130769515.0,False,True,39,29,9,1,25,25,0,0,0.0,0,0,0,0,0,0,495767.0,PA,Public,Pennsylvania State System,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Princeton University,20089843.0,False,True,41,31,8,2,28,26,2,0,0.0,0,0,0,0,0,0,186131.0,NJ,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Purdue University,219193219.0,False,True,9,7,1,1,8,8,0,0,0.0,0,0,0,0,0,0,243780.0,IN,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Rensselaer Polytechnic Institute,165799507.0,False,True,33,27,5,1,21,20,1,0,0.0,0,0,0,0,0,0,194824.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Rice University,74775410.0,False,True,19,16,1,2,16,16,0,0,0.0,0,0,0,0,0,0,227757.0,TX,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Rochester Institute Of Technology,155173764.0,False,True,48,45,3,0,31,29,2,0,0.0,0,0,0,0,0,0,195003.0,NY,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Rowan University,44265643.0,False,True,14,10,4,0,10,10,0,0,0.0,0,0,0,0,0,0,184782.0,NJ,Public,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Rutgers State University Of New Jersey,102322142.0,False,True,82,37,18,2,65,40,3,0,0.0,0,0,0,0,0,0,186380.0,NJ,Public,New Jersey University System,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Seton Hall University,12524447.0,False,True,42,16,1,5,34,17,1,0,0.0,0,0,0,0,0,0,186584.0,NJ,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Southern Illinois University System,2801502357.0,False,True,9,6,2,1,7,7,0,0,0.0,0,0,0,0,0,0,149222.0,IL,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,St Johns University,142823887.0,False,True,26,19,5,2,18,15,3,0,0.0,0,0,0,0,0,0,195809.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Stanford University,97018004.0,False,True,35,27,7,1,24,21,3,0,0.0,0,0,0,0,0,0,243744.0,CA,Private,False,West,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,State University Of New York System,1327163397.0,False,True,15,10,3,2,8,8,0,0,0.0,0,0,0,0,0,0,,,Public,State University of New York System,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Syracuse University,70983195.0,False,True,23,17,4,2,12,12,0,0,0.0,0,0,0,0,0,0,196413.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Temple University,84392919.0,False,True,43,37,6,0,21,20,1,0,0.0,0,0,0,0,0,0,216339.0,PA,Public,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Texas Christian University,128956969.0,False,True,48,35,9,4,27,27,0,0,0.0,0,0,0,0,0,0,228875.0,TX,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Texas Womans University,150913223.0,True,True,9,4,5,0,4,4,0,0,0.0,0,0,0,0,0,0,229179.0,TX,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Tufts University,121934306.0,False,True,35,23,12,0,22,22,0,0,0.0,0,0,0,0,0,0,168148.0,MA,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Akron,110152177.0,True,True,6,5,1,0,6,6,0,0,0.0,0,0,0,0,0,0,200800.0,OH,Public,University System of Ohio,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Alaska System,2802090665.0,False,True,12,5,5,2,7,7,0,0,0.0,0,0,0,0,0,0,,,Public,University of Alaska System,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Arkansas System,2799691083.0,False,True,13,11,2,0,7,7,0,0,0.0,0,0,0,0,0,0,,,Public,University of Arkansas System,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of California System,2803209242.0,False,True,28,20,7,1,18,12,6,0,0.0,0,0,0,0,0,0,110398.0,CA,Public,University of California System,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Chicago,40347166.0,False,True,49,35,10,4,33,29,4,0,0.0,0,0,0,0,0,0,144050.0,IL,Private,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Cincinnati,63135867.0,False,True,9,8,1,0,9,8,1,0,0.0,0,0,0,0,0,0,201885.0,OH,Public,University System of Ohio,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Colorado System,2802236040.0,False,True,9,7,2,0,4,4,0,0,0.0,0,0,0,0,0,0,,,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Connecticut,140172145.0,False,True,17,10,5,2,12,12,0,0,0.0,0,0,0,0,0,0,129020.0,CT,Public,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,University Of Dayton,127591826.0,False,True,34,20,4,10,25,25,0,0,0.0,0,0,0,0,0,0,202480.0,OH,Private,False,Midwest,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
