Id,Label,Interlock_Count,AffiliationId,Board_Size
University of Louisiana,University of Louisiana,0,79516672,52
University of Maine Orono,University of Maine Orono,0,7947594,48
University of Nebraska Lincoln,University of Nebraska Lincoln,0,114395901,36
University of Nebraska Medical Center,University of Nebraska Medical Center,0,59130452,12
University of Nebraska at Omaha,University of Nebraska at Omaha,0,122266389,24
University of New Hampshire Durham,University of New Hampshire Durham,1,161057412,46
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,1,114027177,43
University of North Florida,University of North Florida,0,11874761,16
University of South Florida,University of South Florida,0,2613432,16
University of Tennessee Health Science Center,University of Tennessee Health Science Center,0,160606119,74
University of Tennessee at Knoxville,University of Tennessee at Knoxville,0,75027704,37
University of Texas Health Science Center at Houston,University of Texas Health Science Center at Houston,0,919571938,11
University of Texas Health Science Center at San Antonio,University of Texas Health Science Center at San Antonio,0,165951966,22
University of Texas Medical Branch at Galveston,University of Texas Medical Branch at Galveston,0,55302922,11
University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,0,4210094379,22
University of Texas at Arlington,University of Texas at Arlington,0,189196454,11
University of Texas at Austin,University of Texas at Austin,0,86519309,11
University of Texas at Dallas,University of Texas at Dallas,0,162577319,11
University of Texas at EI Paso,University of Texas at EI Paso,0,164936912,22
University of Texas at San Antonio,University of Texas at San Antonio,0,45438204,11
University of Texas at Tyler,University of Texas at Tyler,0,221716585,11
University of Wisconsin Madison,University of Wisconsin Madison,0,135310074,48
University of Wisconsin Milwaukee,University of Wisconsin Milwaukee,0,43579087,48
Vanderbilt University,Vanderbilt University,0,200719446,39
Villanova University,Villanova University,1,7863295,27
Virginia Commonwealth University,Virginia Commonwealth University,0,184840846,16
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,0,859038795,17
Wake Forest University,Wake Forest University,1,47251452,42
Washington State University,Washington State University,0,72951846,10
Washington University,Washington University,0,204465549,50
West Chester University of Pennsylvania,West Chester University of Pennsylvania,0,161171246,34
West Virginia University,West Virginia University,15,12097938,19
Western Michigan University,Western Michigan University,0,141649380,8
Widener University,Widener University,0,138659443,27
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,39
Wright State University,Wright State University,0,19648265,11
Yale University,Yale University,1,32971472,19
Yeshiva University,Yeshiva University,3,19772626,99
Adelphi University,Adelphi University,0,71965598,19
American University,American University,0,181401687,28
Andrews University,Andrews University,2,102298084,36
Auburn University,Auburn University,3,82497590,12
Ball State University,Ball State University,0,198089087,6
Baylor University,Baylor University,0,157394403,36
Biola University,Biola University,0,152479009,21
Boston College,Boston College,1,103531236,47
Boston University,Boston University,1,111088046,53
Bowling Green State University,Bowling Green State University,0,157417397,9
Brandeis University,Brandeis University,1,6902469,50
Brown University,Brown University,3,27804330,53
California State University Fresno,California State University Fresno,30,67328108,46
California State University Fullerton,California State University Fullerton,30,142934699,69
California State University Hayward,California State University Hayward,30,184813773,23
California State University Long Beach,California State University Long Beach,30,59897056,46
California State University San Bernardino,California State University San Bernardino,30,43369023,46
Carnegie Mellon University,Carnegie Mellon University,6,74973139,103
Case Western Reserve University,Case Western Reserve University,1,58956616,52
Catholic University Of America,Catholic University Of America,1,84470341,43
Central Michigan University,Central Michigan University,0,1629065,7
Chapman University,Chapman University,0,185071736,46
Clark Atlanta University,Clark Atlanta University,10,52064589,25
Clark University,Clark University,0,130785548,20
Clarkson University,Clarkson University,0,16944753,30
Clemson University,Clemson University,0,8078737,56
Cleveland State University,Cleveland State University,0,102607778,22
College Of William And Mary,College Of William And Mary,0,16285277,16
Colorado School Of Mines,Colorado School Of Mines,0,167576493,8
Columbia University,Columbia University,1,78577930,25
Cornell University,Cornell University,1,205783295,47
Dartmouth College,Dartmouth College,1,107672454,17
Drexel University,Drexel University,0,72816309,32
Duke University,Duke University,0,170897317,49
Duquesne University,Duquesne University,3,165102784,43
East Carolina University,East Carolina University,0,186335123,11
Eastern Michigan University,Eastern Michigan University,0,138216421,8
Emory University,Emory University,0,150468666,42
