Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,StateSystem,carnegie_id_x,region,num_billionaires,betweenness,closeness,eigenvector,degree,strength,clustering,carnegie_id_y,year_x,admissions.admission_rate.overall,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,carnegie_id,state,control
1999,George Washington University,193531525.0,False,True,44,33,9,2,30,28,2,0,0.0,0,0,0,0,0,0,False,131469.0,West,1,0.0097410311237823,0.0557065217391304,1.9391707764603184e-62,3.0,0.0363855083153328,0.0,,,,,,,,,,,,,,,,,,,,,,,131469.0,DC,Private
1999,Georgetown University,184565670.0,False,True,43,32,7,4,25,23,2,0,0.0,0,0,0,0,0,0,False,131496.0,Northeast,1,0.0050487051556189,0.051038377459315,2.185862560482278e-62,3.0,0.0388501291989664,0.0,,,,,,,,,,,,,,,,,,,,,,,131496.0,DC,Private
1999,Harvard University,136199984.0,False,True,39,16,9,0,22,14,1,0,0.0,0,0,0,0,0,0,False,166027.0,Northeast,0,0.0,0.0328628401626524,2.719348373756483e-63,1.0,0.0119047619047619,0.0,,,,,,,,,,,,,,,,,,,,,,,166027.0,MA,Private
1999,Hofstra University,139290212.0,False,True,40,30,10,0,33,31,2,0,0.0,0,0,0,0,0,0,False,191649.0,Northeast,0,0.0084937039676882,0.0528084945966323,3.984308910957296e-60,2.0,0.0186433624635871,0.0,,,,,,,,,,,,,,,,,,,,,,,191649.0,NY,Private
1999,Howard University,137853757.0,False,True,27,18,5,4,14,12,2,0,0.0,0,0,0,0,0,0,False,131520.0,Northeast,0,0.0,0.0344749794913863,3.278394207187091e-63,1.0,0.0116279069767441,0.0,,,,,,,,,,,,,,,,,,,,,,,131520.0,DC,Private
1999,Illinois Institute Of Technology,180949307.0,False,True,60,49,6,5,38,38,0,0,0.0,0,0,0,0,0,0,False,145725.0,Midwest,0,0.002375861249703,0.0459088922875245,1.2680633966360495e-62,2.0,0.0255629945222154,0.0,,,,,,,,,,,,,,,,,,,,,,,145725.0,IL,Private
1999,Illinois State University,47301684.0,False,True,7,5,2,0,6,5,1,0,0.0,0,0,0,0,0,0,False,145813.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,145813.0,IL,Public
1999,Indiana State University,86420138.0,False,True,9,6,3,0,6,6,0,0,0.0,0,0,0,0,0,0,False,151324.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,151324.0,IN,Public
1999,James Madison University,11883440.0,False,True,17,11,5,1,10,8,2,0,0.0,0,0,0,0,0,0,False,232423.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,232423.0,VA,Public
1999,Johns Hopkins University,145311948.0,False,True,62,46,8,8,39,35,4,0,0.0,0,0,0,0,0,0,False,162928.0,South,3,0.0068899976241387,0.0406038647342995,6.983461131802732e-63,3.0,0.028874413072492,0.0,,,,,,,,,,,,,,,,,,,,,,,162928.0,MD,Private
1999,Lehigh University,186143895.0,False,True,38,28,9,1,25,24,1,0,0.0,0,0,0,0,0,0,False,213543.0,Northeast,0,0.0,0.0097826086956521,6.119938268500987e-63,1.0,0.0144927536231884,0.0,,,,,,,,,,,,,,,,,,,,,,,213543.0,PA,Private
