Source,Target,Type,Weight,Year
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
Duke University,Emory University,Undirected,1,2007
Clark Atlanta University,Emory University,Undirected,1,2007
Lehigh University,Florida Institute Of Technology,Undirected,1,2007
Yeshiva University,Fordham University,Undirected,1,2007
Georgetown University,Fordham University,Undirected,1,2007
Georgetown University,Fordham University,Undirected,1,2007
Washington State University,George Washington University,Undirected,1,2007
Pepperdine University,Georgetown University,Undirected,1,2007
Fordham University,Georgetown University,Undirected,1,2007
Rockefeller University,Georgetown University,Undirected,1,2007
Fordham University,Georgetown University,Undirected,1,2007
Yeshiva University,Hofstra University,Undirected,1,2007
New York University,Howard University,Undirected,1,2007
Massachusetts Institute Of Technology,Howard University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Idaho,Idaho State University,Undirected,1,2007
University Of Chicago,Illinois Institute Of Technology,Undirected,1,2007
University Of Iowa,Iowa State University,Undirected,1,2007
University Of Iowa,Iowa State University,Undirected,1,2007
Brown University,Johns Hopkins University,Undirected,1,2007
Howard University,Johns Hopkins University,Undirected,1,2007
Duke University,Johns Hopkins University,Undirected,1,2007
Yeshiva University,Johns Hopkins University,Undirected,1,2007
Boston College,Johns Hopkins University,Undirected,1,2007
Massachusetts Institute Of Technology,Johns Hopkins University,Undirected,1,2007
Rockefeller University,Johns Hopkins University,Undirected,1,2007
University Of Rochester,Johns Hopkins University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
University Of Kansas,Kansas State University,Undirected,1,2007
Wichita State University,Kansas State University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Andrews University,Loma Linda University,Undirected,1,2007
Cornell University,Long Island University,Undirected,1,2007
Boston College,Loyola Marymount University,Undirected,1,2007
Boston College,Loyola Marymount University,Undirected,1,2007
Fordham University,Loyola University Chicago,Undirected,1,2007
Fordham University,Loyola University Chicago,Undirected,1,2007
University Of San Diego,Loyola University Chicago,Undirected,1,2007
Marquette University,Loyola University Chicago,Undirected,1,2007
Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2007
West Virginia University,Marshall University,Undirected,1,2007
New School University,Massachusetts Institute Of Technology,Undirected,1,2007
Rockefeller University,Massachusetts Institute Of Technology,Undirected,1,2007
Howard University,Massachusetts Institute Of Technology,Undirected,1,2007
University Of North Carolina At Greensboro,Massachusetts Institute Of Technology,Undirected,1,2007
Cornell University,Massachusetts Institute Of Technology,Undirected,1,2007
Cornell University,Massachusetts Institute Of Technology,Undirected,1,2007
Yale University,Massachusetts Institute Of Technology,Undirected,1,2007
California Institute Of Technology,Massachusetts Institute Of Technology,Undirected,1,2007
Pepperdine University,Massachusetts Institute Of Technology,Undirected,1,2007
Boston University,Massachusetts Institute Of Technology,Undirected,1,2007
California Institute Of Technology,Massachusetts Institute Of Technology,Undirected,1,2007
Harvard University,Massachusetts Institute Of Technology,Undirected,1,2007
Clemson University,Mercer University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
Mercer University,Miami University,Undirected,1,2007
University Of Notre Dame,Michigan State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Memphis,Middle Tennessee State University,Undirected,1,2007
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2007
Tennessee State University,Middle Tennessee State University,Undirected,1,2007
East Tennessee State University,Middle Tennessee State University,Undirected,1,2007
University Of Notre Dame,New Jersey Institute Of Technology,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
Massachusetts Institute Of Technology,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
Dartmouth College,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New York University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
