Source,Target,Type,Weight,Year
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Kansas State University,Wichita State University,Undirected,1,1999
Thomas Jefferson University,Widener University,Undirected,1,1999
Carnegie Mellon University,Worcester Polytechnic Institute,Undirected,1,1999
University Of Connecticut,Yale University,Undirected,1,1999
University Of Rhode Island,Brown University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Kent State University,Cleveland State University,Undirected,1,1999
Ohio University,Cleveland State University,Undirected,1,1999
University Of Akron,Cleveland State University,Undirected,1,1999
University Of Cincinnati,Cleveland State University,Undirected,1,1999
Princeton University,New Jersey Institute Of Technology,Undirected,1,1999
Kent State University,Ohio State University,Undirected,1,1999
Ohio University,Ohio State University,Undirected,1,1999
University Of Akron,Ohio State University,Undirected,1,1999
University Of Cincinnati,Ohio State University,Undirected,1,1999
University Of Akron,Ohio State University,Undirected,1,1999
University Of Cincinnati,Ohio State University,Undirected,1,1999
Cleveland State University,Ohio State University,Undirected,1,1999
Kent State University,Ohio State University,Undirected,1,1999
Ohio University,Ohio State University,Undirected,1,1999
University Of Akron,Ohio State University,Undirected,1,1999
University Of Cincinnati,Ohio State University,Undirected,1,1999
Cleveland State University,Ohio State University,Undirected,1,1999
Kent State University,Ohio State University,Undirected,1,1999
Ohio University,Ohio State University,Undirected,1,1999
University Of Akron,Ohio State University,Undirected,1,1999
University Of Cincinnati,Ohio State University,Undirected,1,1999
Cleveland State University,Ohio State University,Undirected,1,1999
Kent State University,Ohio State University,Undirected,1,1999
Ohio University,Ohio State University,Undirected,1,1999
Catholic University Of America,Seton Hall University,Undirected,1,1999
Lehigh University,Seton Hall University,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
University Of Akron,University Of Toledo,Undirected,1,1999
University Of Cincinnati,University Of Toledo,Undirected,1,1999
Cleveland State University,University Of Toledo,Undirected,1,1999
Kent State University,University Of Toledo,Undirected,1,1999
Ohio University,University Of Toledo,Undirected,1,1999
New York University,Yeshiva University,Undirected,1,1999
Hofstra University,Yeshiva University,Undirected,1,1999
Massachusetts Institute Of Technology,Yeshiva University,Undirected,1,1999
California Institute Of Technology,Chapman University,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Brandeis University,Fordham University,Undirected,1,2000
Fordham University,Georgetown University,Undirected,1,2000
California Institute Of Technology,Harvard University,Undirected,1,2000
Howard University,Johns Hopkins University,Undirected,1,2000
Brown University,Johns Hopkins University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Cleveland State University,Kent State University,Undirected,1,2000
Andrews University,Loma Linda University,Undirected,1,2000
Andrews University,Loma Linda University,Undirected,1,2000
Boston College,Loyola University Chicago,Undirected,1,2000
Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2000
Creighton University,Loyola University Chicago,Undirected,1,2000
George Washington University,Marquette University,Undirected,1,2000
Johns Hopkins University,Massachusetts Institute Of Technology,Undirected,1,2000
Boston University,Massachusetts Institute Of Technology,Undirected,1,2000
Auburn University,New School University,Undirected,1,2000
Auburn University,New School University,Undirected,1,2000
Georgetown University,New York University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Arizona State University,Northern Arizona University,Undirected,1,2000
Case Western Reserve University,Ohio State University,Undirected,1,2000
Hampton University,Old Dominion University,Undirected,1,2000
Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,2000
Dartmouth College,Rockefeller University,Undirected,1,2000
Georgetown University,Rockefeller University,Undirected,1,2000
Princeton University,Rockefeller University,Undirected,1,2000
New York University,Rockefeller University,Undirected,1,2000
Georgetown University,Saint Louis University,Undirected,1,2000
Lehigh University,Seton Hall University,Undirected,1,2000
Catholic University Of America,Seton Hall University,Undirected,1,2000
Rice University,Stanford University,Undirected,1,2000
Rockefeller University,Stanford University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
