Source,Target,Type,Weight
Tufts University,University Of Delaware,Undirected,1
Georgetown University,University Of Delaware,Undirected,1
Idaho State University,University Of Idaho,Undirected,1
Idaho State University,University Of Idaho,Undirected,1
Idaho State University,University Of Idaho,Undirected,1
Depaul University,University Of Illinois At Urbana Champaign,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Iowa State University,University Of Iowa,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Kansas State University,University Of Kansas,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
Mississippi State University,University Of Mississippi,Undirected,1
New Mexico State University,University Of New Mexico,Undirected,1
Middle Tennessee State University,University Of North Texas,Undirected,1
New York University,University Of Notre Dame,Undirected,1
New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1
Oklahoma State University,University Of Oklahoma,Undirected,1
Carnegie Mellon University,University Of Oklahoma,Undirected,1
Oklahoma State University,University Of Oklahoma,Undirected,1
Oklahoma State University,University Of Oklahoma,Undirected,1
Hofstra University,University Of Pittsburgh,Undirected,1
New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,1
Carnegie Mellon University,University Of Pittsburgh,Undirected,1
University Of Chicago,University Of Rochester,Undirected,1
Johns Hopkins University,University Of Rochester,Undirected,1
Rochester Institute Of Technology,University Of Rochester,Undirected,1
University Of Alabama,University Of South Alabama,Undirected,1
Auburn University,University Of South Alabama,Undirected,1
South Dakota State University,University Of South Dakota,Undirected,1
South Dakota State University,University Of South Dakota,Undirected,1
South Dakota State University,University Of South Dakota,Undirected,1
South Dakota State University,University Of South Dakota,Undirected,1
Loyola Marymount University,University Of Southern California,Undirected,1
Carnegie Mellon University,University Of Southern California,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
