Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,PrimarySample,FixedPosition
2010,Stephen P Depalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,118118575.0,185828.0,True,Board Vice President
2010,Peter A Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,118118575.0,185828.0,True,Overseer
2010,Jon S Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,118118575.0,185828.0,True,"Overseer, Ex Officio"
2010,Cory A Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD",118118575.0,185828.0,True,"Overseer, Ex Officio"
2010,Philip K Beachem,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Diane Montalto,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Mariel Obrien,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Dennis M Bone,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Daniel H Dan Schulman,Governor,Rutgers State University Of New Jersey,,"Princeton High (Princeton, NJ; Middlebury 1980 BA; Stern 1986 MBA",102322142.0,186380.0,True,Trustee
2010,Richard L Mccormick,President,Rutgers State University Of New Jersey,,,102322142.0,186380.0,True,Board President
2010,Eugene Michael Ohara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,102322142.0,186380.0,True,Trustee
2010,Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,102322142.0,186380.0,True,Board Vice President
2010,George R Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA; NYU 1971 MA,102322142.0,186380.0,True,Trustee
2010,John F Russo Sr,Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,102322142.0,186380.0,True,Trustee
2010,Patrick M Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,102322142.0,186380.0,True,Trustee
2010,Eric L Kaplan,Student Representative Governor,Rutgers State University Of New Jersey,,,102322142.0,186380.0,True,Other Board Member
2010,Martha A Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,Southern Illinois 1964 BA; Georgetown 1969 PhD,102322142.0,186380.0,True,Other Board Member
2010,Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,"Baruch Col 1973 BBA; Michigan State 1975 MA, 1979 PhD",102322142.0,186380.0,True,Other Board Member
2010,Ralph Izzo,Governor,Rutgers State University Of New Jersey,,"Columbia 1978 BS, 1979 MS, 1981 PhD; Rutgers MBA",102322142.0,186380.0,True,Trustee
2010,Gerald C Harvey,Governor,Rutgers State University Of New Jersey,,Rutgers 1972. BA; Columbia 1975 JD,102322142.0,186380.0,True,Trustee
2010,Leslie A Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,102322142.0,186380.0,True,Other Board Member
2010,Bruce Fehn,Treasurer,Rutgers State University Of New Jersey,,,102322142.0,186380.0,True,Other Board Member
2010,Anthony J Depetris,Governor,Rutgers State University Of New Jersey,,Rutgers (Camden) 1984 BA; Delaware 1986 MPA,102322142.0,186380.0,True,Trustee
2010,Catherine A Cahill,Assistant Secretary,Rutgers State University Of New Jersey,,,102322142.0,186380.0,True,Other Board Member
2010,M William Howard,Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,102322142.0,186380.0,True,Board President
2010,Robert A Laudicina,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965 MA; Columbia 1968 PhD",102322142.0,186380.0,True,Trustee
2010,Monsignor Robert Wister,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Pamela M Swartzberg,Secretary,Seton Hall University,,,12524447.0,186584.0,True,Other Board Member
2010,Bruce A Tomason,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Monsignor Robert Sheeran,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,The Most Reverend Arthur J Serratelli,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD,12524447.0,186584.0,True,Regent
2010,John J Schimpf,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,The Most Reverend John J Myers,Chairman,Seton Hall University,,,12524447.0,186584.0,True,Board President
2010,Patricia Cahill,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Phillip Frese,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Monsignor John Doran,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Monsignor Robert F Coleman,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Kurt T Borowsky,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Monsignor James M Cafone,Vice Chairman,Seton Hall University,,,12524447.0,186584.0,True,Board Vice President
2010,Patrick M Murray,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Monsignor Joseph Reilly,Trustee,Seton Hall University,,,12524447.0,186584.0,True,Regent
2010,Joseph P La Sala,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,12524447.0,186584.0,True,Regent
2010,James W Severt Sr,Board Member,Virginia Polytechnic Institute And State University,,,859038795.0,233921.0,True,Member
2010,James R Smith,Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech 1974,859038795.0,233921.0,True,Member
2010,Lori L Wagner,Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech,859038795.0,233921.0,True,Member
2010,Tom Tucker,Staff Representative,Virginia Polytechnic Institute And State University,,,859038795.0,233921.0,True,Other Board Member
