Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
2011,Dr. Mark S. Searle,"Vice President, Academic Personnel",Arizona Board of Regents,Arizona State University At Tempe Campus,Winnipeg (Canada) BA; North Dakota MS; Maryland 1988 PhD,55732556.0,104151.0,9.0,753.0,Board Vice President,True,Arizona Board of Regents
2011,David W. Young,"Senior Vice President, Academic Affairs",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,3.0,747.0,Board Vice President,True,Arizona Board of Regents
2011,Arthur Blakemore,Senior Vice Provost,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,11.0,755.0,Director,True,Arizona Board of Regents
2011,Maria T. Allison,University Vice Provost,Arizona Board of Regents,Arizona State University At Tempe Campus,Illinois PhD,55732556.0,104151.0,13.0,757.0,Director,True,Arizona Board of Regents
2011,Sam DiGangi,"Associate Vice President, Information Technology",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,14.0,759.0,Board Vice President,True,Arizona Board of Regents
2011,Bob Nelson,"Assistant Vice President, Information Technology",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,15.0,760.0,Board Vice President,True,Arizona Board of Regents
2011,Terri Shafer,"Assistant Vice President, Marketing and Strategic Communications",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,16.0,761.0,Board Vice President,True,Arizona Board of Regents
2011,Sherrie Schmidt,University Librarian,Arizona Board of Regents,,,55732556.0,104151.0,17.0,764.0,Other Board Member,True,Arizona Board of Regents
2011,Quentin D. Wheeler,University Vice President,Arizona Board of Regents,College Of Liberal Arts And Sciences,Ohio State 1980 PhD,55732556.0,104151.0,18.0,773.0,Board Vice President,True,Arizona Board of Regents
2011,Elizabeth Langland,University Vice President,Arizona Board of Regents,Arizona State University At West Campus [Asu West],Barnard BA; Chicago MA. PhD,55732556.0,104151.0,19.0,775.0,Board Vice President,True,Arizona Board of Regents
2011,John L. Pickens,Police Chief,Arizona Board of Regents,Arizona State University At West Campus [Asu West],,55732556.0,104151.0,20.0,781.0,Director,True,Arizona Board of Regents
2011,Stuart Hadley,"Assistant Vice President, Policy Affairs",Arizona Board of Regents,Arizona State University At West Campus [Asu West],,55732556.0,104151.0,21.0,782.0,Board Vice President,True,Arizona Board of Regents
2011,Stuart Hadley,Directorfederal Relations,Arizona Board of Regents,Arizona State University At West Campus [Asu West],,55732556.0,104151.0,22.0,783.0,Director,True,Arizona Board of Regents
2011,George W. Hynd,"Senior Vice Provost, Education and Innovation",Arizona Board of Regents,Arizona State University At Tempe Campus,"Pepperdine 1970 BA, 1971 MA; U Guam 1975 MEd; Northern Colorado 1976 EdD # 818",55732556.0,104151.0,12.0,756.0,Director,True,Arizona Board of Regents
2011,"Rev. Byron Paul Franklin, Sr",Ninth Congressional District Trustee,Auburn University,,,82497590.0,100858.0,,,Trustee,True,
2011,Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,82497590.0,100858.0,,,Trustee,True,
2011,Raymond J. Harbert,At Large Member,Auburn University,,Auburn 1982,82497590.0,100858.0,,,Trustee,True,
2011,Robert E. Lowder,Second Congressional District Trustee,Auburn University,,Auburn 1964 BS,82497590.0,100858.0,,,Trustee,True,
2011,Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BSME; Birmingham 1978 JD,82497590.0,100858.0,,,Trustee,True,
2011,Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama 1978 MAED,82497590.0,100858.0,,,Trustee,True,
2011,James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,82497590.0,100858.0,,,Trustee,True,
2011,"Robert R. ""Bob"" Riley",Ex Officio President,Auburn University,,Alabama 1965 BS,82497590.0,100858.0,,,"Board President, Ex Officio",True,
