AffiliationId,FullName
4210134096,Mount St Mary's College
68213504,Mount Saint Mary's University
68213504,Mount Saint Mary's College and Seminary
68213504,Mount Saint Marys College and Seminary
68213504,"Mount St Mary's University, Emmitsburg"
68213504,Mount St Mary's University Emmitsburg
127362389,Murray State University
25093896,Nazareth College
25093896,Nazareth College of Rochester
118118575,New Jersey Institute of Technology
10052268,New Mexico State University
102179633,New School
102179633,New School University
57206974,New York University
45536552,North Central College
4210127926,North Dakota University System
65741653,Dickinson State University
53457621,Mayville State University
92063915,Minot State University
57328836,North Dakota State University
24571045,University of North Dakota
24571045,North Dakota University
205944377,Valley City State University
95240055,Northeast Ohio Medical University
95240055,Northeastern Ohio Universities College of Medicine
12912129,Northeastern University
203172682,Northern Arizona University
102502594,Northern Illinois University
111979921,Northwestern University
203088144,Nova Southeastern University
177721651,Oakland University
70571728,Oberlin College
72903472,Occidental College
52357470,The Ohio State University
52357470,Ohio State University
4210106879,Ohio University
81461992,Ohio Wesleyan University
,Oklahoma State System of Higher Education
115475287,Oklahoma State University
81365321,Old Dominion University
189981527,Oral Roberts University
165690674,Oregon Health & Science University
165690674,Oregon Health and Science University
2800918300,Oregon University System
207168215,Eastern Oregon University
129871486,Oregon Institute of Technology
131249849,Oregon State University
126345244,Portland State University
75909800,Southern Oregon University
181233156,University of Oregon
95781656,Western Oregon University
126863827,Pace University
60065076,Pacific Lutheran University
4210149261,Pacific University
29957033,Pennsylvania State System of Higher Education
190816365,Bloomsburg University
190816365,Bloomsburg University of Pennsylvania
36788626,California University of Pennsylvania
49631817,Cheyney University
49631817,Cheyney University of Pennsylvania
114686714,Clarion University
114686714,Clarion University of Pennsylvania
79060951,East Stroudsburg University
79060951,East Stroudsburg University of Pennsylvania
155159281,Edinboro University
155159281,Edinboro University of Pennsylvania
200885203,Indiana University of Pennsylvania
2132711,Kutztown University
2132711,Kutztown University of Pennsylvania
63329203,Lock Haven University
63329203,Lock Haven University of Pennsylvania
131579929,Mansfield University
131579929,Mansfield University of Pennsylvania
104651037,Millersville University
104651037,Millersville University of Pennsylvania
139418187,Shippensburg University
139418187,Shippensburg University of Pennsylvania
169494899,Slippery Rock University
169494899,Slippery Rock University of Pennsylvania
161171246,West Chester University
161171246,West Chester University of Pennsylvania
130769515,Pennsylvania State University
130769515,Pennsylvania State University (PSU)
100191712,Pepperdine University
60262850,Phillips University
57206974,Brooklyn Polytechnic University
57206974,Polytechnic University
57206974,New York University-Polytechnic
57206974,New York University Polytechnic
57206974,Polytechnic Institute Of New York University
177881444,Pomona College
177881444,Pomona University
20089843,Princeton University
196272386,Providence College
196272386,Providence University
219193219,Purdue University West Lafayette
219193219,Purdue University
4210130184,Indiana University-Purdue University Fort Wayne
4210130184,Indiana University Purdue University Fort Wayne
4210130184,Purdue University Fort Wayne
117015748,Purdue University Calumet
117015748,Purdue University Northwest
117015748,Purdue University North Central
40889946,Queens University of Charlotte
40889946,Queens College
43267033,Quinnipiac University
43267033,Quinnipiac College
53559539,Radford University
,Radcliffe College
171851574,Ramapo College of New Jersey
171851574,Ramapo College
55486353,Reed College
128365640,Regis University
165799507,Rensselaer Polytechnic Institute
117979880,Rhodes College
74775410,Rice University
186776151,Rider University
155173764,Rochester Institute of Technology
83399316,Rockefeller University
192972912,Rockford College
192972912,Rockford University
90840245,Rollins College
44265643,Rowan University
102322142,"Rutgers, The State University of New Jersey"
102322142,"Rutgers, State University of New Jersey"
102322142,Rutgers State University of New Jersey
102322142,"Rutgers, The State University of New Jersey, New Brunswick"
102322142,"Rutgers, State University of New Jersey, New Brunswick"
102322142,Rutgers State University of New Jersey New Brunswick
102322142,"Rutgers, The State University of New Jersey, Newark"
102322142,"Rutgers, State University of New Jersey, Newark"
102322142,Rutgers State University of New Jersey Newark
117309725,St Bonaventure University
9224006,St Edward's University
9224006,St Edwards University
910567637,St John Fisher College
4210131395,St John's College
4210131395,St Johns College
4210131395,St John's College New Mexico
142823887,St John's University
142823887,St Johns University
51077184,Saint Joseph's University
51077184,Saint Josephs University
100236772,St Lawrence University
47838141,Saint Louis University
177081203,Saint Mary's College of California
177081203,Saint Marys College of California
189060766,"St Mary's University, Texas"
189060766,"St Mary's University"
189060766,"St Marys University"
4210147856,Saint Mary's University of Minnesota
4210147856,Saint Marys University of Minnesota
55801708,Saint Michael's College
55801708,St Michael's College
55801708,St Michaels College
24861097,St Olaf College
198985290,Saint Xavier University
83321563,Samford University
16269868,Santa Clara University
56327960,Sarah Lawrence College
16970960,Scripps College
11317958,Seattle Pacific University
58610484,Seattle University
12524447,Seton Hall University
179245896,Simmons University
179245896,Simmons College
21104390,Skidmore College
202524275,Smith College
,South Dakota Board Of Regents
177156846,South Dakota State University
161165907,Southeast Missouri State University
161165907,Southeast Missouri University
2801502357,Southern Illinois University System
2801502357,Southern Illinois University
110378019,Southern Illinois University Carbondale
110378019,Southern Illinois University at Carbondale
87547150,Southern Illinois University Edwardsville
87547150,Southern Illinois University at Edwardsville
178169726,Southern Methodist University
119942284,Missouri State University
119942284,Southwest Missouri State University
164141967,Spring Arbor University
50213246,Spring Hill College
97018004,Stanford University
1327163397,State University of New York System
1327163397,State University of New York
392282,"University at Albany, State University of New York"
392282,"University at Albany, SUNY"
392282,University at Albany
392282,State University of New York at Albany
123946342,SUNY Binghamton
123946342,Binghamton University
123946342,"Binghamton University, SUNY"
123946342,State University of New York at Binghamton
4864440,State University of New York at Brockport
4864440,SUNY Brockport
4864440,Brockport College
181697535,Health Science Center at Brooklyn
181697535,SUNY Downstate Medical Center
181697535,State University of New York Downstate Medical Center
115441956,SUNY Buffalo State University
115441956,SUNY Buffalo State College
115441956,Buffalo State University
115441956,Buffalo State College
63190737,"University at Buffalo, State University of New York"
63190737,"University at Buffalo, SUNY"
63190737,University at Buffalo
63190737,State University of New York at Buffalo
880615350,State University of New York College at Cortland
880615350,SUNY College at Cortland
880615350,Cortland College
88081825,Empire State University
88081825,Empire State College
88081825,State University of New York at Empire State College
88081825,State University of New York at Empire State
61032284,SUNY Fredonia
61032284,State University of New York at Fredonia
27559774,State University of New York at Geneseo
27559774,SUNY Geneseo
157455823,State University of New York at New Paltz
157455823,SUNY New Paltz
138168422,SUNY College at Old Westbury
138168422,State University of New York at Old Westbury
122713931,SUNY Oneonta
122713931,State University of New York at Oneonta
122713931,State University of New York College at Oneonta
43742981,State University of New York at Oswego
43742981,State University at Oswego
43742981,SUNY Oswego
63475719,SUNY Plattsburgh
63475719,State University of New York at Plattsburgh
63475719,State University of New York College at Plattsburgh
83328411,State University of New York at Potsdam
83328411,SUNY Potsdam
103497121,Purchase College
103497121,State University of New York at Purchase
59553526,Stony Brook University
59553526,"Stony Brook University, State University of New York"
59553526,SUNY Stony Brook
59553526,State University of New York at Stony Brook
59553526,"State University of New York, Stony Brook"
20388574,SUNY Upstate Medical University
20388574,Upstate Medical University
20388574,State University of New York Upstate Medical University
20388574,Health Science Center at Syracuse
2801649442,State University System of Florida
63772739,Florida Atlantic University
2801014300,Florida Gulf Coast University
106959904,Florida Institute of Technology
19700959,Florida International University
103163165,Florida State University
201193091,Stephen F. Austin State University
201193091,Stephen E Austin State University
99490713,Stetson University
108468826,Stevens Institute of Technology
108468826,Stevens University
24306055,Suffolk University
118020396,Swarthmore College
118020396,Swarthmore University
2125089,Sweet Briar College
70983195,Syracuse University
84392919,Temple University
75256744,Tennessee State University
63920570,Tennessee Technological University
173268674,Texas A&M University System
125029298,Texas A&M Health Science Center
125029298,Health Science Center
,Baylor College of Dentistry
,Texas A&M University Baylor College of Dentistry
,Texas A&M University School of Dentistry
250520410,Prairie View A&M University
75063564,Tarleton State University
131740757,Texas A&M International University
91045830,Texas A&M University
91045830,Texas A&M University-College Station
91045830,Texas A&M University College Station
206651237,Texas A&M University-Commerce
206651237,Texas A&M University Commerce
96749437,Texas A&M University-Corpus Christi
96749437,Texas A&M University Corpus Christi
164185940,Texas A&M University at Galveston
164185940,Texas A&M University Galveston
181414168,Texas A&M University-Kingsville
181414168,Texas A&M University Kingsville
51380931,Texas A&M University-Texarkana
51380931,Texas A&M University Texarkana
188674872,West Texas A&M University
128956969,Texas Christian University
2801273398,Texas State University System
41644977,Angelo State University
177898655,Lamar University
,Lamar Institute of Technology
4210117491,Lamar State College–Port Arthur
4210117491,Lamar State College Port Arthur
3024311316,Lamar Community College
3024311316,Lamar State College–Orange
3024311316,Lamar State College Orange
191429286,Sam Houston State University
162709352,Sul Ross State University
13511017,Texas State University
13511017,Texas State University-San Marcos
13511017,Texas State University San Marcos
13511017,Southwest Texas State University
4210088475,Texas Tech University System
12315562,Texas Tech University
926076166,Texas Tech University Health Sciences Center
,Texas Tech University Health Sciences Center At El Paso
142374663,Texas Wesleyan University
150913223,Texas Woman's University
,Tennessee Board of Regents
149251103,Thomas Jefferson University
149251103,Jefferson University
56722557,Trinity College
60060512,Trinity University
199639920,Truman State University
121934306,Tufts University
114832834,Tulane University
6026837,Tuskegee University
177328695,Union College
204669301,Union Institute
204669301,Union Institute & University
204669301,Union Institute and University
,United States International University
430641,US Air Force Academy
430641,United States Air Force Academy
186274478,United States Coast Guard Academy
186274478,US Coast Guard Academy
157438962,United States Merchant Marine Academy
192545095,United States Military Academy
192545095,US Military Academy
189158971,United States Naval Academy
189158971,US Naval Academy
68260882,Nevada System of Higher Education
68260882,University and Community College System of Nevada
133999245,"University of Nevada, Las Vegas"
133999245,University of Nevada Las Vegas
134113660,University of Nevada Reno
134113660,"University of Nevada, Reno"
110152177,University of Akron
2800507078,University of Alabama System
32389192,University of Alabama at Birmingham
32389192,University of Alabama Birmingham
82495205,University of Alabama in Huntsville
82495205,University of Alabama Huntsville
17301866,University of Alabama
17301866,University of Alabama-Tuscaloosa
17301866,University of Alabama - Tuscaloosa
17301866,Universitv of Alabama Tuscaloosa
2802090665,University of Alaska System
147853995,University of Alaska Anchorage
141472210,University of Alaska Fairbanks
90464598,University of Alaska Southeast
138006243,University of Arizona
2799691083,University of Arkansas System
78715868,"University of Arkansas, Fayetteville"
78715868,University of Arkansas at Fayetteville
78715868,University of Arkansas
102401767,University of Arkansas at Little Rock
79620101,University of Arkansas for Medical Sciences
169655526,University of Arkansas at Monticello
94525581,University of Arkansas at Pine Bluff
2803209242,University of California System
95457486,"University of California, Berkeley"
95457486,University of California Berkeley
84218800,"University of California, Davis"
84218800,University of California Davis
204250578,"University of California, Irvine"
204250578,University of California Irvine
161318765,"University of California, Los Angeles"
161318765,University of California Los Angeles
156087764,"University of California, Merced"
156087764,University of California Merced
103635307,"University of California, Riverside"
103635307,University of California Riverside
36258959,"University of California, San Diego"
36258959,University of California San Diego
180670191,"University of California, San Francisco"
154570441,"University of California, Santa Barbara"
185103710,"University of California, Santa Cruz"
32038505,University of Central Arkansas
106165777,University of Central Florida
48380244,University of Charleston
40347166,University of Chicago
63135867,University of Cincinnati
2802236040,University of Colorado System
188538660,University of Colorado Boulder
188538660,University of Colorado at Boulder
888729015,University of Colorado Colorado Springs
888729015,University of Colorado at Colorado Springs
921990950,University of Colorado Denver
921990950,University of Colorado at Denver
921990950,University of Colorado at Denver Health Sciences Center
921990950,University of Colorado Health Sciences Center
140172145,University of Connecticut
127591826,University of Dayton
86501945,University of Delaware
131651094,University of Denver
71792333,University of Detroit Mercy
155997454,University of Evansville
33213144,University of Florida
162281398,University of Hartford
162281398,Hartford University
1331384533,University of Hawaii System
35722693,University of Hawaii at Hilo
117965899,University of Hawaii at Manoa
117965899,University of Hawaii Manoa
25390106,University of Hawaii–West Oahu
25390106,University of Hawaii West Oahu
2801525821,University of Houston System
44461941,University of Houston
52913039,University of Houston - Clear Lake
52913039,University of Houston-Clear Lake
52913039,University of Houston Clear Lake
16277215,University of Houston - Downtown
16277215,University of Houston-Downtown
16277215,University of Houston Downtown
173388201,University of Houston-Victoria
173388201,University of Houston Victoria
155093810,University of Idaho
2801919071,University of Illinois System
2801919071,University of Illinois
39422238,University of Illinois at Chicago
39422238,University of Illinois Chicago
79884896,University of Illinois at Springfield
79884896,University of Illinois Springfield
157725225,University of Illinois Urbana-Champaign
157725225,University of Illinois at Urbana-Champaign
135191193,University of Indianapolis
126307644,University of Iowa
146416000,University of Kansas
143302722,University of Kentucky
708430,University of La Verne
2799628689,University of Louisiana System
152158401,Grambling State University
152158401,Gambling State University
919208787,Louisiana Tech University
172951950,McNeese State University
47209331,Nicholls State University
157717896,Northwestern State University
157717896,Northwestern State University of Louisiana
197173980,Southeastern Louisiana University
79516672,University of Louisiana Lafayette
79516672,University of Louisiana at Lafayette
79516672,University of Southwestern Louisiana
79516672,University of Louisiana
71730758,University of Louisiana at Monroe
71730758,University of Louisiana Monroe
71730758,Northeast Louisiana University
142740786,University of Louisville
2802397601,University of Maine System
7947594,University of Maine
7947594,University of Maine (Orono)
7947594,University of Maine Orono
91492222,University of Maine at Augusta
198006653,University of Maine at Farmington
215168068,University of Maine at Fort Kent
174836887,University of Maine at Machias
160136153,University of Maine at Presque Isle
73443619,University of Southern Maine
191484440,University of Mary Washington
191484440,Mary Washington College
88225094,Marylhurst University
88225094,Marylhurst College
2802841742,University of Massachusetts System
24603500,University of Massachusetts Amherst
24603500,University of Massachusetts at Amherst
33434090,University of Massachusetts Boston
33434090,University of Massachusetts at Boston
100633361,University of Massachusetts Dartmouth
100633361,University of Massachusetts at Dartmouth
133738476,University of Massachusetts Lowell
133738476,University of Massachusetts at Lowell
166722992,University of Massachusetts Chan Medical School
166722992,University of Massachusetts Worcester
166722992,University of Massachusetts at Worcester
94658018,University of Memphis
145608581,University of Miami
27837315,University of Michigan
27837315,University of Michigan–Ann Arbor
27837315,University of Michigan Ann Arbor
4210130704,University of Michigan–Dearborn
4210130704,University of Michigan Dearborn
4210092198,University of Michigan–Flint
4210092198,University of Michigan Flint
2800403580,University of Minnesota System
130238516,University of Minnesota
130238516,"University of Minnesota, Twin Cities"
4210159608,University of Minnesota Crookston
4210159608,"University of Minnesota, Crookston"
4210115145,"University of Minnesota, Duluth"
4210162301,University of Minnesota Morris
4210162301,"University of Minnesota, Morris"
4777552,University of Missouri System
76835614,University of Missouri
76835614,"University of Missouri, Columbia"
75421653,University of Missouri–Kansas City
75421653,University of Missouri Kansas City
20382870,Missouri University of Science and Technology
20382870,"University of Missouri, Rolla"
208333798,University of Missouri–St. Louis
208333798,University of Missouri St Louis
2802450327,University of Nebraska System
114395901,University of Nebraska–Lincoln
114395901,University of Nebraska at Lincoln
114395901,University of Nebraska Lincoln
36486460,University of Nebraska at Kearney
36486460,University of Nebraska Kearney
122266389,University of Nebraska Omaha
122266389,University of Nebraska at Omaha
59130452,University of Nebraska Medical Center
169521973,University of New Mexico
4210158053,University of North Carolina System
430192,Appalachian State University
186335123,East Carolina University
65399651,Elizabeth City State University
184654094,Fayetteville State University
35777872,North Carolina Agricultural and Technical State University
123127086,North Carolina Central University
2800023490,University of North Carolina School of the Arts
2800023490,University of North Carolina School of Arts
2800023490,North Carolina School of the Arts
2800023490,North Carolina School of Arts
137902535,North Carolina State University
87097829,University of North Carolina at Asheville
114027177,University of North Carolina at Chapel Hill
102149020,University of North Carolina at Charlotte
169335092,University of North Carolina at Greensboro
3970613,University of North Carolina at Pembroke
153901656,University of North Carolina Wilmington
153901656,University of North Carolina at Wilmington
103406327,Western Carolina University
188405335,Winston-Salem State University
188405335,Winston Salem State University
11874761,University of North Florida
2802090120,University of North Texas System
123534392,University of North Texas
87573096,University of North Texas at Dallas
87573096,University of North Texas Dallas Campus
165139151,University of North Texas Health Science Center
165139151,University of North Texas Health Science Center at Forth Worth
165139151,University of North Texas Health Sciences Center at Forth Worth
71966907,University of Northern Colorado
119234918,University of Northern Iowa
107639228,University of Notre Dame
8692664,University of Oklahoma
49332381,University of Oklahoma Health Sciences Center
4392738079,University of Oklahoma - Tulsa
4392738079,University of Oklahoma Tulsa
79576946,University of Pennsylvania
170201317,University of Pittsburgh
71578702,University of Portland
146552867,University of Puget Sound
193054373,University of Redlands
17626003,University of Rhode Island
158012942,University of Richmond
5388228,University of Rochester
130799901,University of St. Thomas - Texas
130799901,University of St. Thomas Texas
161515732,University of St. Thomas - Minnesota
161515732,University of St. Thomas Minnesota
160856358,University of San Diego
76766440,University of San Francisco
124113063,University of Scranton
124113063,Scranton University
83809506,University of South Alabama
155781252,University of South Carolina
189957204,University of South Dakota
2613432,University of South Florida
1174212,University of Southern California
2799495847,University of Tennessee System
177097968,University of Tennessee at Chattanooga
75027704,University of Tennessee at Knoxville
109963312,University of Tennessee at Martin
160606119,University of Tennessee at Memphis
160606119,University of Tennessee Health Science Center
16452829,University of Texas System
189196454,University of Texas at Arlington
86519309,University of Texas at Austin
2802326326,University of Texas Rio Grande Valley
2802326326,University of Texas at Brownsville/Texas Southmost College
162577319,University of Texas at Dallas
164936912,University of Texas at El Paso
164936912,University of Texas at EI Paso
,University of Texas-Pan American
,University of Texas Pan American
114580094,University of Texas of the Permian Basin
114580094,University of Texas of Permian Basin
45438204,University of Texas at San Antonio
221716585,University of Texas at Tyler
4210094379,University of Texas Health Science Center at Dallas
4210094379,University of Texas Southwestern Medical Center at Dallas
919571938,University of Texas Health Science Center at Houston
165951966,The University of Texas Health Science Center at San Antonio
165951966,University of Texas Health Science Center at San Antonio
55302922,University of Texas Medical Branch at Galveston
54166199,University of the Incarnate Word
54166199,University of Incarnate Word
119942576,University of the Pacific
119942576,University of Pacific
145423581,Sewanee: The University of the South
145423581,University of the South
145423581,University of South
90871651,University of Toledo
87208437,University of Tulsa
223532165,University of Utah
